country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ni,Nicaragua,Graphics & Design,6027,1,1534126062,"Themify: Iconos, Temas, Widget",AIBY Incorporated,https://apps.apple.com/ni/app/themify-iconos-temas-widget/id1534126062?uo=4,0.0,4.4375,304,Graphics & Design,"Explora nuestra amplia colección de atractivos íconos, temas, fondos de pantalla y widgets para que personalices y animes las pantallas de bloqueo y de inicio de tu teléfono. Sin duda encontrarás algo que se adapte a tus gustos.


Y no se trata solo del aspecto. Con los widgets de Themify para las pantallas de bloqueo y de inicio y StandBy, puedes tener acceso rápido a la información que necesites, convertir tu teléfono en una pantalla inteligente e incluso tener una mascota digital en tu pantalla.

Funciones clave:


■ Temas 3 en 1


Independientemente de que te gusten los tonos oscuros o te apasionen los colores pastel, puedes decorar tu pantalla para crear un espacio armonioso con unos pocos toques. Solo tienes que instalar un tema que se adapte a tus gustos y disfrutar de una perfecta combinación de íconos de aplicaciones, widgets y fondos de pantalla.


■ Gran colección de widgets
Widgets interactivos para llevar un seguimiento de tus actividades más importantes, como el sueño o la distancia recorrida.
Widgets con hora y calendario, clima, frases motivadoras o simplemente imágenes atractivas: agrega cualquier información directamente a tus pantallas de inicio y de bloqueo
Simpáticas mascotas digitales (¡recuerda alimentarlas y bañarlas!)
Widgets para StandBy con la hora, el día o el clima en tiempo real siempre activos
Widgets informativos creados especialmente para iPad

■ Creador de temas

Si quieres personalizar el tema de tu pantalla de inicio, utiliza nuestro Creador de temas. Cambia su diseño y crea uno único para tu dispositivo.


■ Más de 2000 paquetes de íconos


Para quienes ya no quieran seguir usando los mismos íconos estándar, tenemos una gran variedad de paquetes de íconos personalizados. ¡Seguro encontrarás contenido único para tu gusto!


■ Fondos fijos y animados

Anime, Urbano, Animales, Naturaleza, Automóviles, por mencionar algunos. ¡Tenemos fondos de pantalla fijos y animados para todos los gustos y estados de ánimo! 


■ Integración con Salud de Apple 


Sincroniza Themify con la aplicación Salud y haz un seguimiento sin esfuerzo de tu sueño diario, la cantidad de pasos realizados y la ingesta de agua mediante el uso de widgets prácticos y atractivos. 

SUSCRIPCIÓN DE ACCESO ILIMITADO
• Puedes suscribirte a todas las funciones de Themify para acceder a ellas de forma ilimitada.
• Las suscripciones se facturan semanalmente o anualmente a la tasa seleccionada según tu plan de suscripción.

Todos los datos personales están protegidos según los Términos de uso y la Política de privacidad:
https://aiby.mobi/widget/terms/ 
https://aiby.mobi/widget/privacy/",2020-10-02T07:00:00Z,2025-11-06T06:29:00Z
ni,Nicaragua,Graphics & Design,6027,2,6467189759,Themelia: Tema y Widget,WOOHOO LIMITED,https://apps.apple.com/ni/app/themelia-tema-y-widget/id6467189759?uo=4,0.0,4.42623,61,Graphics & Design,"¿Cansado de una pantalla de inicio aburrida? ¡Sumérgete en Themelia y explora más de 5.000 temas, 9.000 fondos de pantalla y 12.000 widgets! Desde estilos de iOS 26, deportes, películas, música, anime, estética, Kpop, dibujos animados, cómics y más—¡hay un tema para todos!

¡Y eso es solo el comienzo! Themelia te ofrece una experiencia completamente personalizada con estado de batería, fecha, clima y más. ¡Haz que tu pantalla refleje tu estilo!

Lo mejor de Themelia:
- Navega contenido increíble en la página principal
- 200+ paquetes para combinar inicio y bloqueo
- Nuevos temas, widgets y fondos gratis a diario
- Actualizaciones rápidas y fáciles
- Combina 5.000+ temas, 9.000+ fondos y 12.000+ widgets
- Configuración rápida de temas e íconos
- Temas todo-en-uno simples y elegantes
- Cría una mascota virtual—¡tu compañero fiel siempre contigo!

Y aquí está el verdadero cambio de juego: el instalador especial de temas de Themelia con un solo clic facilita la personalización de los iconos de aplicaciones, widgets y fondos de pantalla. Con solo unos pocos toques, puedes transformar tu pantalla para que coincida con tu estilo.

¿Listo para elevar la estética de tu iPhone? Con nuestros temas, iconos de aplicaciones y widgets de iOS 18 perfectamente integrados, Themelia es tu compañero definitivo para la pantalla de inicio. ¡Explora, elige tus favoritos y lleva el aspecto de tu iPhone al siguiente nivel!

Política de Privacidad & Términos de Servicio:
https://site-widgetopia.colorifystudios.com/Privacy-Policy.html
https://site-widgetopia.colorifystudios.com/Terms-of-Service.html",2023-10-04T07:00:00Z,2025-11-21T02:22:41Z
ni,Nicaragua,Graphics & Design,6027,3,6448484908,AR Drawing: Sketch & Paint,Digital Solutions Technologies Limited,https://apps.apple.com/ni/app/ar-drawing-sketch-paint/id6448484908?uo=4,0.0,4.5549,337,Graphics & Design,"Solo calca la imagen proyectada en papel y coloréala

Usa la cámara de tu teléfono para dibujar
Muchas plantillas: Animales, Autos, Naturaleza, Comida y más
Linterna integrada
Comparte el resultado con tus amigos

AR Drawing es una aplicación innovadora que te permite crear dibujos y pinturas increíbles usando tecnología de realidad aumentada Puedes dibujar lo que quieras sobre cualquier superficie

Ya seas un artista con experiencia o estés comenzando esta app es perfecta para liberar tu creatividad y explorar nuevas posibilidades en el arte Descarga AR Drawing: Sketch & Paint y comienza a crear tu propia obra maestra

Política de Privacidad: https://ar-drawing.com/privacy/
Términos de Uso: https://ar-drawing.com/terms/",2023-05-02T07:00:00Z,2025-11-11T17:51:04Z
ni,Nicaragua,Graphics & Design,6027,4,1616629991,"ThemePack: Icono, Widget, Tema","Beijing Qisi Zhonghe Technology Co., Ltd.",https://apps.apple.com/ni/app/themepack-icono-widget-tema/id1616629991?uo=4,0.0,4.63009,565,Graphics & Design,"ThemePack es una aplicación gratuita con iconos de aplicaciones estéticas, fondos de pantalla impresionantes y widgets con estilo, que te ayuda a personalizar tu pantalla de inicio y de bloqueo como nunca antes.

¿Estás aburrido del estilo estándar de tu teléfono? Con ThemePack, puedes encontrar fácilmente tus widgets favoritos, increíbles packs de iconos y fondos de pantalla de alta calidad, creados por diseñadores profesionales para cambiar tu pantalla de inicio.

Características principales:
■Trendy App Icons changer
Descubre la increíble colección de temas de iconos de aplicaciones y reemplaza los iconos predeterminados de todas tus aplicaciones favoritas. Cambie sus iconos de aplicaciones de forma gratuita, y decorar su dispositivo para ser único.

Widgets Elegantes
Selecciona los widgets que más te gusten, Hora, Fecha, Calendario y Foto están disponibles ahora, y más widgets de fantasía te están esperando para que los descubras.

Fondos de pantalla estáticos y animados
Dale vida a tu pantalla con fondos de pantalla exclusivos. Hay muchos géneros de fondos de pantalla, como estéticos, animales, brillos, naturaleza, fondos de anime, etc. Cada fondo de pantalla se comprueba cuidadosamente y asegurarse de una visualización perfecta.

Nuevos fondos de pantalla de bloqueo
Cambia tu pantalla con las opciones de personalización de fondos de pantalla que ofrece iOS 16

Temas elegantes para iPhone: widgets geniales, iconos de aplicaciones personalizados, fondos de pantalla estéticos. Un sinfín de opciones personalizadas te ofrecen una nueva forma de expresarte y hacer que tu iPhone sea excepcional. La aplicación de salvapantallas es muy fácil de configurar.

REQUISITOS
- Icon Dealer funciona en todos los dispositivos iOS con el único requisito de que ejecuten iOS 14+.
- Puedes suscribirte para tener acceso ilimitado a todas las funciones dentro de ThemePack.
- Las suscripciones se facturan semanal, mensual o anualmente a la tasa seleccionada en función del plan de suscripción.
- El pago se cargará a su cuenta de iTunes en cuanto confirme la compra.
- Al cancelar una suscripción, ésta permanecerá activa hasta el final del periodo. La renovación automática se desactivará, pero no se reembolsará la suscripción actual.

Plazo de uso: https://www.livemoji.net/privacy_en_iconchanger.html",2022-04-12T07:00:00Z,2025-11-22T10:32:50Z
ni,Nicaragua,Graphics & Design,6027,5,6740616658,iThemes - Easy Widgets & Icons,HONGKONG KOALA MOBILE LIMITED,https://apps.apple.com/ni/app/ithemes-easy-widgets-icons/id6740616658?uo=4,0.0,5,5,Graphics & Design,"iThemes is a collection of ios18 control center widgets, lock screen widgets, popular wallpapers and other functions in one of the utility products. We are committed to providing users with functional conditions that make it easy to add beautiful and practical widgets to the home screen and lock screen, a huge amount of resources that make it easy to select the content you like, and customized scenarios that allow you to freely edit the content you want.

iThemes has a large number of designer customized creative widgets, and also supports you to design your own  widgets using the widget custom editor. iThemes not only provides a rich library of interesting widgets, but also prepares a large number of popular wallpapers and other interesting, beautiful, diversified and wonderful content for you to show off your own hobby and aesthetics to provide a broad platform space. Highly customizable widgets allow you to completely personalize your screen. iThemes will be your best partner in transforming your device.

● Super rich widget library
Each widget can be freely customized by replacing photos, selecting styles, editing fonts, and other unique custom design options. The widgets we provide include but are not limited to:
● iOS18 Control Center Widget
● Lock Screen Widget
● Practical Photo Widget
● Date and Time Widget
● Battery Widget
● Weather Widget
● Calendar Widget
● Custom Text/Quote Widget
......There are many more resources updated in real time for you to choose from~

● Massive Wallpaper Resources
We provide users with the most popular wallpaper resources to make your phone always wonderful, updated in real time, with a wide variety to meet your imagination of wallpapers.


● Super exquisite theme packages
We integrate global designer and artist resources to provide users with super exquisite massive theme packages, which perfectly integrate widgets, icon packs, and wallpapers, while highlighting the practical value of widgets, while retaining the unique beauty and aesthetic value of each widget. It only takes a few steps to set up the entire theme and decorate your phone interface with one click. In addition, we continue to update and release new themes to meet the diverse needs of users.We provide users with the most popular wallpaper resources, so that your phone is always wonderful, real-time updates, a variety of categories, to meet your imagination of wallpaper.

More exciting look forward to your discovery!

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/

Privacy Policy: https://www.koalamobile.net/",2025-01-22T08:00:00Z,2025-11-20T21:19:39Z
ni,Nicaragua,Graphics & Design,6027,6,6446832902,WallPics - Live Wallpapers 4K,IgKnight Technologies Ltd,https://apps.apple.com/ni/app/wallpics-live-wallpapers-4k/id6446832902?uo=4,0.0,4.44898,49,Graphics & Design,"Transform your iPhone into a personal masterpiece with Wallpics, the ultimate destination for stunning live wallpapers, DIY wallpaper creations, charging animations, pfp icons, matching wallpaper sets, and true 4K quality backgrounds. Whether you’re looking to refresh your lockscreen or craft a cohesive home-and-lockscreen theme, Wallpics delivers everything you need to make your device truly yours.

Endless Live Wallpapers & 4K Quality Backgrounds
• Dive into a vast library of dynamic live wallpapers in breathtaking 4K quality—fluid animations that bring motion and depth to your lockscreen and home screen.
• Browse categories from abstract art and nature scenes to futuristic cityscapes, all rendered in ultra-high definition for crisp, vibrant visuals.
• Enjoy smooth playback and perfect compatibility with iOS’s Live Photo lockscreen feature—your screen has never looked this alive.

DIY Wallpaper Studio
• Unleash your creativity with Wallpics’s intuitive wallpaper maker. Mix and match patterns, colors, and textures to design your own custom backgrounds in minutes.
• Add text, overlays, and stickers—or start with our premium templates to craft a signature look.
• Export your creations in both standard and 4K resolutions, ready to set as your lockscreen, home screen, or share with friends.

Charging Animations & Dynamic Effects
• Impress every time you plug in: choose from a gallery of charging animations that light up around your battery icon—so fun, you’ll look forward to low battery!
• From neon pulses and sparkles to liquid fills and energy ripples, our power-on effects are fully customizable and optimized for iOS.

Premium PFP Icons & Matching Wallpaper Sets
• Personalize your social profiles with a curated collection of pfp icons—stylized avatars, minimalist logos, and neon glyphs that pop on any background.
• Coordinate your entire device aesthetic with matching wallpaper bundles—lockscreen and home screen designs that complement each other perfectly.
• Keep your theme cohesive across apps by exporting both backgrounds and pfp icons at once.

Features at a Glance

Live Wallpapers: Animated lockscreen backgrounds & home screen motion

DIY Wallpaper: Custom background studio with templates, text & stickers

Charging Animations: Dynamic power-on effects for every charge

PFP Icons: Profile picture avatars in multiple styles and resolutions

Matching Wallpaper Sets: Coordinated lockscreen + home screen bundles

4K Quality: Ultra-HD backgrounds and exports

Ready to elevate your iPhone experience? Download Wallpics now and unlock a universe of live wallpapers, DIY creations, charging animations, pfp icons, matching wallpaper, and 4K quality backgrounds—tailored just for you!

Payment will be charged to the credit card connected to your iTunes Account when you confirm the initial subscription purchase. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current subscription period. Your account will be charged for renewal within 24-hours prior to the end of the current period, and the cost of the renewal will be identified. You may manage your subscription and auto-renewal may be turned off by going to your Account Settings after the purchase. Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable.

Read more about our terms and conditions here:

Privacy Policy: https://imageconverter.io/privacy-policy
Terms of Use: https://imageconverter.io/terms-of-use
Contact us: j.leisis.mba@gmail.com",2023-03-28T07:00:00Z,2025-11-19T02:57:43Z
ni,Nicaragua,Graphics & Design,6027,7,450722833,ibis Paint X,ibis inc.,https://apps.apple.com/ni/app/ibis-paint-x/id450722833?uo=4,0.0,4.69231,169,Graphics & Design,"ibis Paint X es una aplicación de dibujo popular y versátil descargada más de 460 millones de veces en total como serie, que proporciona más de 47000 pinceles, más de 27000 materiales, más de 2100 fuentes, 84 filtros, 46 tonos de pantalla, 27 modos de fusión, registro de procesos de dibujo, trazo función de estabilización, varias funciones de regla, como reglas de línea radial o reglas de simetría, y funciones de máscara de recorte.

*Canal de YouTube
Muchos videos tutoriales en ibis Paint se cargan en nuestro canal de YouTube.
¡Suscríbete!
https://youtube.com/ibisPaint

*Concepto/características
- Una característica altamente funcional y profesional superando la de las aplicaciones de dibujo de escritorio.
- Experiencia de dibujo suave y confortable realizada por la tecnología OpenGL.
- Grabación de su proceso de dibujo como un vídeo.
- Función SNS donde puede aprender técnicas de dibujo de los vídeos de proceso de dibujo de otros usuarios.

*Comentarios de los usuarios
Recibimos muchas buenas reputaciones de los usuarios.
- Yo nunca podría haber asumido que puedo dibujar tales dibujos hermosos en los teléfonos inteligentes!
- Más fácil de usar entre todas las aplicaciones de dibujo!
- He aprendido a dibujar dibujos digitales sin Mac o PC!

*Características
ibis Paint tiene una alta funcionalidad como una aplicación de dibujo junto con características de compartir procesos de dibujo con otros usuarios.

[Características del pincel]
- Dibujo liso de hasta 120 fps.
- Más de 47000 tipos de pinceles, incluyendo plumas de inmersión, rotuladores de fieltro, bolígrafos digitales, cepillos de aire, cepillos de ventilador, cepillos planos, lápices, cepillos de aceite, cepillos de carbón, crayones y sellos.

*Sobre el plan de compra de ibis Paint
Los siguientes planes de compra están disponibles para ibis Paint:
- ibis Paint X (versión gratuita)
- ibis Paint (versión de pago)
- Complemento de eliminación de anuncios
- Membresía Prime (Plan mensuall / Plan anual)
No hay ninguna diferencia en cuanto a las características, aparte de la presencia o ausencia de anuncios para la versión de pago y la versión gratuita.
Si adquiere el complemento Remove Ads, los anuncios no se mostrarán y no habrá ninguna diferencia con la versión de pago de ibis Paint.
Para utilizar funciones más avanzadas, es necesario contratar la Suscripción Premium (Plan mensuall / Plan anual).

[Suscripción Premium]
Un miembro principal puede utilizar las funciones principales. Solo por primera vez, está disponible una prueba gratuita de 7 días o 1 mes. La membresía Prime le da derecho a las siguientes características.
- 20 GB de capacidad de almacenamiento en la nube
- Materiales prime
- Papeles de lona prime
- Fuentes prime
- Filtro de curva de tono
- Filtro de mapa de gradación
- Filtro de ajuste de niveles
- Herramienta vectorial(*1)
- Capas de ajuste principales
- Relleno circundante・Borrador circundante
- Alteración con IA
- Función de carpeta de ilustraciones
- Importar patrones de pincel originales
- Personalizar el color de fondo del lienzo
- Eliminar la marca de agua de los vídeos
- Sin publicidad en las pantallas
- ¡Y muchas otras características exclusivas de la Suscripción prémium!
(*1) Puedes probarlo gratis hasta una hora al día.
* Después de hacerte Suscripción Premium con una prueba gratuita, la tarifa de renovación se cobrará automáticamente a menos que canceles tu Suscripción Premium al menos 24 horas antes del final del periodo de prueba gratuita.
* Vamos a añadir características de primera calidad en el futuro, por favor, mirar hacia fuera para ellos.

*Preguntas y apoyo
Las preguntas y los informes de errores en las revisiones no se respondían, por lo que póngase en contacto con el soporte técnico de ibis Paint.
https://ssl.ibis.ne.jp/en/support/Entry?svid=25

*Condiciones del servicio de ibisPaint
https://ibispaint.com/agreement.jsp",2011-08-01T21:09:00Z,2025-10-27T00:15:34Z
ni,Nicaragua,Graphics & Design,6027,8,1534704608,"iScreen:Icono,Widget,Tema","Xiamen iScreen Information Technology Co., Ltd.",https://apps.apple.com/ni/app/iscreen-icono-widget-tema/id1534704608?uo=4,0.0,4.58437,563,Graphics & Design,"＊ ¡Estiliza tu móvil, ¡iScreen it!​​ ＊

iScreen - Pantalla de inicio personalizada con diversos Widgets, Temas y Fondos de pantalla para que la pantalla de tu teléfono destaque.

¡iOS 26 Desbloqueado!, con efectos de vidrio líquido y más de 1000+ fondos de pantalla y temas espaciales en 3D. Se añadió personalización dinámica del Centro de Control para 
una experiencia más práctica y divertida.

No solo puedes criar mascotas y cultivar plantas en la Dynamic Island, personalizar tu Pantalla de Bloqueo con widgets Interactivos, Clima, Batería, Lanzador, Panel-X, Texto e Ícono, Animación, Reloj de Trabajo, Contador de Pasos, sino también añadir widgets de Pantalla de Inicio como Panel Dinámico, Fotos, Álbum de Desplazamiento, Lista de Tareas, Cuenta Regresiva, Reloj Digital, Calendario, Notas de Emoji, Ventilador, Aire Acondicionado, y más para mayor diversión. Además de los widgets, iScreen también ofrece varios Temas, Fondos de Pantalla, obras de arte generadas por IA, Animaciones de Carga y otras funciones para hacer que la pantalla de tu teléfono sea más hermosa y única.

Característica especial:
  【iOS 26】  
Divertidas funciones de iOS 26, personalizadas con más de 1000+ fondos de pantalla y temas espaciales en 3D. Efectos dinámicos añadidos en el Centro de Control para que tu teléfono sea verdaderamente único.

  【Centro de Control】  
Personaliza el estilo de tu Centro de Control con iconos coloridos. Las características incluyen un Contador, Recordatorio de Agua, Libro de Respuestas, Lanzamiento de Dados e Inicio Rápido, combinando belleza y practicidad.

  【Fondos de Pantalla DIY】  
Crea fondos de pantalla estáticos o dinámicos con plantillas ricas como Polaroid, Rompecabezas de Corazón, Tarjeta Intercambiable y Luces de Marquee Animadas para hacer que tu pantalla de inicio sea única.

  【Widgets】  
Incluye widgets populares como Panel Dinámico, Muro de Fotos, Clima, Batería, Cuenta Regresiva, Calendario, Panel-X, Notas de Emoji, Reloj Digital, Rueda de la Fortuna, Molino de Viento y Aire Acondicionado. También ofrece estilos creativos de pantalla de bloqueo como Emojis, Animaciones e Iconos, con soporte para efectos transparentes, haciendo que tu teléfono sea divertido y práctico.

  【Animación de Carga】  
Animaciones de carga geniales e interesantes con efectos personalizados para una experiencia de carga personalizada.

  【Widgets de Pareja】  
Dulces widgets diseñados para parejas y amigos. Envíen mensajes y fotos a las pantallas del otro, y verifiquen la distancia en tiempo real, el clima y los estados de ánimo.

  【Widgets Interactivos】  
Completa rápidamente registros de tareas pendientes o juega juegos como ""Golpear Topo"" y ""Arcade"" sin abrir la aplicación, añadiendo diversión a tu rutina diaria.

  【Temas y Fondos de Pantalla】  
Una vasta colección de temas y fondos de pantalla actualizados diariamente, incluyendo estilos de tendencia como Ins, minimalista, rosa y negro, arte de IA y diseños de papel cortado. Eleva fácilmente el estilo de tu pantalla de inicio y personaliza tu teléfono!

  【Dynamic Island】  
Ofrece una variedad de funciones divertidas, como Isla de Mascotas, Isla de Plantas, Isla de Animación, Isla del Clima, Isla de Panel, Isla de Calendario, Isla de Firma, Isla de Lanzador, Isla de Temporizador y más. Viene con múltiples animaciones creativas integradas, y también puedes cargar imágenes o avatares personalizados a tu Dynamic Island y establecer citas exclusivas

Use Of Terms: https://www.xmzerone.com/about/deskagreement.html
Privacy Policy: http://www.xmzerone.com/about/deskprivacy.html",2020-11-25T08:00:00Z,2025-11-13T01:54:41Z
ni,Nicaragua,Graphics & Design,6027,9,1640653011,Mico - Widget & Live Wallpaper,Unbing International Limited,https://apps.apple.com/ni/app/mico-widget-live-wallpaper/id1640653011?uo=4,0.0,4.63973,297,Graphics & Design,"Mico – Totalmente adaptado a OS 26, descubre nuevas formas de personalizar tu pantalla con el exclusivo tema Liquid Glass~
【Fondos de pantalla con efecto de profundidad & Liquid Glass Temas en OS 26】
Fondos con efecto de profundidad: ¡Totalmente optimizados para OS 26! Gracias a la separación inteligente por capas y al diseño espacial, el reloj y los elementos del fondo se fusionan de forma natural, creando una experiencia más tridimensional y personalizada.
Liquid Glass Temas: Una textura brillante y fluida de luces y reflejos que te ofrece una experiencia visual única e inmersiva.

【DIY Live Wallpapers & Battery Icon Wallpaper】
Supports static/dynamic wallpaper creation, with a wide range of templates like Polaroid, heart collage, flip cards, labubu video wallpaper, and more. There are also various battery icon stickers and battery widget to personalize the top status bar of your phone, making your wallpapers even more fun. Your home screen becomes a unique design that's truly your own.

【Theme Template, One-Click To Use】 
Mico's theme pack lets you mix and match stylish widgets and lock screen templates to create a home screen that's uniquely yours. Top widgets and stunning wallpapers created by designers from around the world—yours to use with just a tap. Effortlessly design your perfect home screen.

【Home & Lock Screen Widgets】 
Transform your iOS experience with customizable widgets for both Home Screen and Lock Screen!  
*Couple widget: Couple widgets let you and your partner share a little love right on your home screens. No matter how far apart you are, you’ll always feel connected.
*Battery widget: The Battery Widget not only shows your power level but also matches your home screen aesthetic with customizable styles and themes.
*Photo widget: provide a variety of styles of photo frames, cute pets, retro game consoles, movie film styles, everything 
*Animation widgets: emoticon packs, flashing emoticons, GIF, bear emoticon animations, cute cat animations, flashing hearts... 

【New iOS 18 Widgets & Themes】
Fully compatible with iOS 18 – supports customizing the control center and lock screen buttons, with plenty of cute, text, and animated icons. 

【Support Apple Health Tracking】 
Mico Lock Screen Widget integrates Apple Health App to display health data such as steps in widgets. If you want to use a super widget that contains health data, please allow the APP to access health data when entering the widget preview page. 

*Your free trial subscription will automatically renew to a paid subscription unless auto-renew is turned off at least 24 hours before the end of the free trial period 
*You can cancel a free trial or subscription anytime by turning off auto-renewal through your iTunes account settings. This must be done 24 hours before the end of a free trial or subscription period to avoid being charged. The cancellation will take effect the day after the last day of the current subscription period, and you will be downgraded to the free service
Learn more: 
User Agreement:http://global.download.sharpmobi.com/resources/com.sm.Alina/html/UserPolicy_en.html
Privacy Policy: http://global.download.sharpmobi.com/resources/com.sm.Alina/html/PrivacyPolicy_en.html
If you have any questions, please contact us via email: micolockscreen@163.com
Follow us：
TikTok @mico_widget
Instagram @mico_widget",2022-09-15T07:00:00Z,2025-11-20T06:45:21Z
ni,Nicaragua,Graphics & Design,6027,10,1472157401,Photo Collage Maker & Layout,Fitness Labs SRL,https://apps.apple.com/ni/app/photo-collage-maker-layout/id1472157401?uo=4,0.0,4.57576,561,Graphics & Design,"Do you have some cool memories from your last holiday?
 Use Photo Collage Maker to combine the best of your experiences! Bring your ideas to life with this super fun and easy to use the app.
Equipped with a wide array of layouts, shapes, and styles, you can rotate, resize or rearrange freely the photos in the collage.
The great number of filters will help to enhance the aspect of your creation.
Be ready to share with the world a unique story!

No unnecessary features or complicated UI
Very flexible, quick, and simple workflow
Extensive collection of beautifully designed layouts
Mix your photos and choose the size and style that fits you best
Add a personalized touch by picking the right filter

----
Subscribe to take advantage of the features described above. Subscription length: weekly, monthly, yearly
By subscribing you get unlimited edits and access to our tools.Payment will be charged to iTunes Account at confirmation of purchase. Your subscription will automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Your account will be charged for renewal within 24-hours prior to the end of the current period. Subscriptions may be managed and auto-renewal may be turned off by going to the Account Settings after purchase. No cancellation of the current subscription is allowed during active subscription period.
Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable

For the Terms of service and privacy policy, please check: 
http://braincake.net/collage_privacy.html
http://braincake.net/collage_terms.html",2019-12-11T08:00:00Z,2025-11-23T08:30:43Z
