country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ng,Nigeria,Music,6011,1,921765888,Audiomack - Play Music Offline,"Audiomack, Inc.",https://apps.apple.com/ng/app/audiomack-play-music-offline/id921765888?uo=4,0.0,4.66498,1074731,Music,"Discover Music & Playlists with Audiomack – Stream & Download Offline

Audiomack is a music player and discovery app that lets you stream and download the hottest songs, mixtapes, albums, and playlists.

On the Audiomack free tier, listen and download songs and albums with no subscription needed. Play full songs and albums with unlimited skips and repeats, even in the background while using other apps. You can even make your own playlists, and stream and share them, all for free.

Whether you're into hip-hop, Afrobeats, R&B, amapiano, Latin, reggae, dancehall, pop, rock, or country, Audiomack helps you discover music and rising artists faster than ever.

Audiomack Free features:
- Stream music with full control: Play full tracks with unlimited skips. Build playlists, repeat your favorite songs, and listen the way you want, free.
- Listen offline, no wifi needed: Download music and mixtapes to your phone and play them anytime, even without data.
- Remix your songs with Audiomod: Customize playback with pitch control, speed adjustment, reverb effects, and presets like Nightcore, Sped Up, Daycore, Slow and Reverb, and more.
- Personalized Music Recommendations: Get new music picked just for you.
- Top charts and trending music: Explore what’s hot locally and globally - see what’s trending on our top music charts.
- Connect with artists: Follow your favorite artists and be the first to hear new releases and exclusive messages.

Audiomack+ (monthly subscription) features:
- No Ads: enjoy your music with no interruptions
- Premium listening experience: equalizer, hifi listening
- Premium mods: get access to more Audiomod presets

Trending Artists on Audiomack:
- YoungBoy Never Broke Again
- Yeat
- Post Malone
- Rod Wave
- Lil Durk
- Drake
- Burna Boy
- Asake
- Nicki Minaj
- Bad Bunny
- Peso Pluma

Explore the future of music streaming and offline listening—download Audiomack today and start discovering your sound.
Use of the Audiomack App and download feature is subject to your agreement with our Privacy Policy/TOS.

Privacy Policy: http://www.audiomack.com/privacy-policy
TOS: http://www.audiomack.com/about/terms-of-service

Explore the future of music – download Audiomack now!",2014-11-19T20:23:53Z,2025-10-21T16:24:57Z
ng,Nigeria,Music,6011,2,324684580,Spotify: Music and Podcasts,Spotify,https://apps.apple.com/ng/app/spotify-music-and-podcasts/id324684580?uo=4,0.0,4.69123,504217,Music,"With the Spotify app, you can explore an extensive library of music and podcasts for free. Curate the best playlists and stream millions of free songs, albums and original podcasts on your mobile or tablet. Subscribe to Spotify Premium to download and listen offline wherever you are, and unlock our catalogue of audiobooks.

Why choose Spotify as your go-to music and podcast app? Here, you can:
• Listen to over 100 million songs and 6 million podcast titles
• Explore our selection of specially-crafted artist playlists
• Easily search for your favourite songs, albums, artists and podcasts
• Discover personalised music recommendations tailored to your unique taste
• Subscribe to your favourite free podcasts so you never miss an episode and even curate your own podcast library

Spotify Free is more than a music player – find the sounds that you love and stream music and podcasts online for free. Enjoy personalised playlists or curate and share your own, discover the hottest new releases, explore upcoming events from your favourites and more.

• Stream millions of free songs and podcasts
• Create playlists with your favourite music
• Share songs and playlists with friends and family (feature restrictions may apply in some regions)
• Discover personalised playlists made just for you, and collaborate on playlists with your friends
• Enjoy your personal Discover Weekly playlist every week
• Stay in the know with the Release Radar and New Music Friday playlists
• Find nearby events and gigs by your favourite artists
• See your most played songs, genres, artists and more with yearly Spotify Wrapped
• Stream music across your devices with Spotify
• Use Spotify Connect and enjoy listening on smart speakers, desktop, laptop, smart TV, Chromecast, PlayStation®, Xbox®, smartwatch, in your car and more – limited number of device models apply

Spotify Premium – a great way to enjoy the benefits of an offline music player and stream music without Wi-Fi. By pressing download, you can access your songs, playlists, podcasts and audiobooks offline, wherever you are.
• Listen to music, podcasts and audiobooks – all in one place
• Ad-free music listening: enjoy your music with no ad interruptions
• Enjoy full on-demand playback
• Audiobooks in Premium are currently available in the UK, US, Australia, Ireland, New Zealand and Canada. Discover 250,000+ audiobook titles with 15 hours/month of available listening for Premium Individual subscribers and Duo & Family plan managers.
• Superior sound quality on supported devices
• AI DJ: a personalised guide that knows your music taste so well that it can choose what to play for you
• Enjoy on desktop, mobile phone, tablet, computer, smartwatch and in your car
• Listen and control the listening session together by hosting a Jam in real time with friends
• Download songs, podcasts and audiobooks for offline listening without an Internet connection
• No contract required – cancel your subscription whenever you want

Spotify lets you play music wherever you are. Listen to your favourite songs and discover new music, podcasts and audiobooks with the Spotify app!

LOVE SPOTIFY?
Follow us on Instagram: https://www.instagram.com/spotify
Follow us on TikTok: https://www.tiktok.com/@spotify",2021-02-23T08:00:00Z,2025-11-20T16:39:40Z
ng,Nigeria,Music,6011,3,284993459,Shazam: Find Music & Concerts,Apple Distribution International,https://apps.apple.com/ng/app/shazam-find-music-concerts/id284993459?uo=4,0.0,4.78698,192653,Music,"What's that song? Shazam will instantly identify music playing around you or in apps like TikTok, Instagram, YouTube & Snapchat. Discover concerts near you, song lyrics, videos & more. With tens of millions of daily users, Shazam is trusted by music lovers worldwide.

“Shazam is a gift... a game changer” – Pharrell Williams, GQ 
“I don't know how we ever survived before Shazam” – Marshmello 
“Shazam is a kind of magic… You hear a song, hold your phone up like a wand and it tells you exactly what song it is, who sang it and lets you add it to your playlist or share it to your social media… How is that not magic?!” – Calum Scott

WHY YOU’LL LOVE IT

* Identify music in an instant.
* Discover live shows near you from your favourite artists or through curated recommendations.
* Recognise songs even when you’re offline, using headphones or on a different app.
* Revisit your music discovery history in your library anytime.
* Get recommended songs and playlists similar to the music you’ve discovered.

USE SHAZAM ANYWHERE, ANYTIME

* Enable the Shazam widgets on your Lock Screen or Home Screen.
* Ask Siri, “What’s this song?” to use Shazam hands-free.
* Automate music discovery with the Shazam Shortcut in the Shortcuts app.

CONNECT WITH YOUR MUSIC

* Unlock extras from artists around the world.
* Open any song directly in Apple Music, Spotify, YouTube Music, Amazon Music & Deezer.
* Listen and add songs directly to your Apple Music playlists.
* Watch music videos of the songs you discover in Apple Music or YouTube.
* Follow along to songs with real-time, karaoke-style lyrics.
* See what’s trending locally and globally with Shazam Charts.

Availability and features may vary by country. For more information on Shazam’s privacy practices, please read the Privacy Policy, available at https://www.apple.com/legal/privacy/. Find out more and get support from AppleCare at https://support.apple.com/guide/shazam/welcome.",2019-02-09T08:00:00Z,2025-11-05T12:38:02Z
ng,Nigeria,Music,6011,4,1437251983,Boomplay: Music & Live Stream,TRANSSNET MUSIC LIMITED,https://apps.apple.com/ng/app/boomplay-music-live-stream/id1437251983?uo=4,0.0,3.98399,8619,Music,"Boomplay music app is a music player with over 100M songs across different genres like Pop music, Rock, Afrobeats, Afropop and Reggae from top artists. Stream and download music including the best new songs, albums and curated playlists on Boomplay for free and play music offline data-free!

WHY YOU'LL LOVE BOOMPLAY?
- Discover New Music And Trending Songs
Boomplay music player boasts more than 100M songs which include the new music and podcasts. Come and search for your favourite songs, artist, or podcasts. 

- Download Songs And Listen Offline
Boomplay music downloader allows you to play your favourite songs offline. You can also use Boomplay as a media player to play all your local music offline like MP3s, AAC, M4A, WAV, and other files from the local files from your SD card or phone.

- Personalized Playlists Made Just For You 
Boomplay knows your music taste better than anyone. You will be surprised by what new music and songs our recommendations will help you discover.

- Support The Artists You Love!
Boomplay streams now count towards Billboard Music Charts including Billboard Hot 100, Artist 100 as well as all other Billboard U.S. and global charts. Every click of Play, Listen, Download on Boomplay, maximizes the exposure of the artists to help creating more new music for their fans.

- Equalizer
Build your Equalizer and enjoy your favourite trending songs. 

- Lyrics
See the lyrics to the trending music.

- More Than A Music App
Join the 'Live' section on Boomplay to chat with artists and like-minded people. There are featured topics, opportunities to showcase talent in the online live house, and have fun with friends and strangers through party games.

With Boomplay, you could access to a world of new music, playlists, artists, and podcasts you love. Here’s Boomplay, worthy of being your default Music Downloader!

BOOMPLAY SUBSCRIPTION FEATURES
- Unlimited Music Downloads
The Subscriber could enjoy music downloader with unlimited free downloads, so you can even listen to music offline, without using your data! 

- No Ads
The Boomplay music player allows you to listen to an album, playlist, songs or podcast without ad breaks. 

- Premium Music Content
Enjoy the premium playlists that are created exclusively for subscribers. Discover the best music and add the playlists to your favourites.

-Best Quality Music
Enjoy higher quality new music in full 320kbps.

Facebook：https://www.facebook.com/BoomplayMusic 
Instagram： https://instagram.com/boomplaymusic
Twitter： https://twitter.com/BoomplayMusic
YouTube： https://www.youtube.com/c/BoomplayMusic

PROBLEMS? FEEDBACKS?
Email: usersupport@boomplay.com

【Monthly Subscription】
-- Subscription Period: One month.
-- Subscription Price: First-time users who subscribe through the App Store will not be charged for the first month, from the second month users will be charged a monthly fee of 2.99USD / 1.49USD / 900NGN / 29.99ZAR etc.
-- Payment: The payment will be deducted from users iTunes account once the purchase is confirmed.
-- Renewal: Subscription renews automatically unless user disables the auto-renew function at least 24 hours before the expiry date.
-- Subscription Management: If you need to cancel your subscription, please manually open the 'Settings' of iOS —> enter 'iTunes Store and App Store' —> Click 'Apple ID' , enter the ' Account Settings —> Page, click 'Subscription' , select Boomplay Monthly Subscription and cancel your subscription.
-- Privacy Policy: https://www.boomplay.com/conditions
-- Terms of Auto-renew: https://www.boomplay.com/conditions#auto-renew",2018-12-21T19:05:43Z,2025-11-14T01:32:50Z
ng,Nigeria,Music,6011,5,1017492454,YouTube Music,Google LLC,https://apps.apple.com/ng/app/youtube-music/id1017492454?uo=4,0.0,4.77677,14044,Music,"Connecting you to the world of music:
● Music content including live performances, covers, remixes and music content you can't find elsewhere
● Thousands of curated playlists across many genres and activities

Get personalised music, perfect for every moment:
● Personalised playlists and Mixes
● Activity mixes made for you
● Create playlists with song suggestions or collaborate with other music fans to create the perfect playlist
● Neatly organised Library to see all of your liked and added songs, playlists you created and artists you subscribed to

Stay on top of the trends and discover new music:
● Take a look at new releases
● Discover music-based genres (Hip Hop, Pop, Country, Dance and Electronic, Blues, Indie and Alternative, Jazz, Kpop, Latin, Rock and more)
● Discover music-based mood (Chill, Feel Good, Energy Booster, Sleep, Focus, Romance, Workout, Commute, Party)
● Explore top charts from all over the world

Enhanced your listening experience with unique features:
● Song lyrics so you can sing along to your favourites
● Upload songs from your devices so you can enjoy them in one place with YouTube Music
● Listen on your phone, desktop, smart speaker, smart TV, car, smart watch and within your favourite apps.
● Compatible with Google Maps, Waze, Google Assistant and more.

Upgrade to Music Premium (available in selected countries) to enjoy:
● Listen ad-free
● Play music in the background
● Access your downloads, including smart downloads
● Switch seamlessly between audio and video, only with YouTube Music

------------
If you subscribe via iTunes:

Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Accounts will be charged for renewal within 24 hours prior to the end of the current period at the rate of the selected plan. Subscriptions and auto-renewal may be managed by going to Account Settings after purchase.

YouTube paid service terms: https://www.youtube.com/t/terms_paidservice
Privacy policy: https://www.google.com/policies/privacy",2020-03-10T07:00:00Z,2025-11-17T17:27:22Z
ng,Nigeria,Music,6011,6,6754109917,Tubidy Video Music : FM player,Sarmad Majeed,https://apps.apple.com/ng/app/tubidy-video-music-fm-player/id6754109917?uo=4,0.0,4,1,Music,"Mp3 Playlist creator and favorite folder.

Tubidy Media offers a smooth mobile experience, optimized for speed and simplicity.

Tube Video Mp3 Mp4 Video Player for all your video and music needs

Get your favorite content in just a tap.

Itube formats supported, mp3, m4a, mp4, m4v, mov, avi, wmv, doc, xls, pdf, txt, etc.

Save songs and listen offline, without using your data, or listen to your personal MP3 collection.

Super sound quality.

Any songs, videos, artists, playlists from Tubi for any mood for free.

Fm Tube introduced Different Resolutions.

Auto detect and load local video files.

You can enjoy uninterrupted video entertainment while doing other things with TubidyFm.

Offline tube music player, songs player, audio player, mp4  player with high quality music experience.

Set your favorite local music as ringtone in offline music player.

Browse and play music by albums, artists, music playlists, genres, folders etc

Offline music player. Play song in your phone.

Support share music.

Easily browse and play music songs by genres , albums , artists , songs and folder.

Movie video player, mp4 HD player

you should definitely have a useful tubi-dy player like an HD video player.

Savefrom Share the full HD video player with your friends to enjoy great movies together anytime.

Have a try with HD Video Player All Format. The MP4 player offers multiple features, such as TubeHD fast forward and rewind. you can do multiple HD UHD tasks while watching your favorite videos.

Our private FM Save keeps your files safe. No one else can access your playlist.

Tubedy a digital multimedia container format that is used to store video, audio, subtitles, and still images. MP4 is a highly HD versatile and compressed format that is widely used for streaming online and is supported by most.

Enjoy a seamless video experience on mobile with our stunning UX/UI design and 4k playback.

Full HD Video Player ensures an effortless, high-quality viewing experience.

 Tube Media search all media files by name, artist, album, and more.

You can watch TV shows, and other video content.

All-in-one playit media Player for different formats.

it easy to browseTube through player video.

•⁠  ⁠Flash formats video - flv, asf videos
•⁠  ⁠Thumbnail displays of videos
•⁠  ⁠HD video playing memory optimization
•⁠  ⁠Recent Play list
•⁠  ⁠show all video folder list

Term os use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/

Privacy Policy: https://www.freeprivacypolicy.com/live/7ddbe42b-c0de-4034-9881-947c690c4c16",2025-10-17T07:00:00Z,2025-11-10T04:13:29Z
ng,Nigeria,Music,6011,7,968585775,BandLab – Music Making Studio,BandLab Singapore Pte Ltd,https://apps.apple.com/ng/app/bandlab-music-making-studio/id968585775?uo=4,0.0,4.59791,7068,Music,"Create, share, and discover music without limits on BandLab – your all-in-one app for music creation, from ideation to distribution.

BandLab is your free song making and beat making app. Join over 60 million users expressing themselves freely on our social music platform. No matter your skill level or background, BandLab is your creative outlet with features designed for every step of your musical journey!

Record music on the go with an intuitive Digital Audio Workstation (DAW), built-in effects, and royalty free loops and samples – BandLab is the creative tool right in your pocket.

Create without limits with our multi-track Studio:
• An intuitive Digital Audio Workstation (DAW) to record, edit, and remix your music
• Apply built-in effects, or find loops and samples from our royalty-free sound packs to build a beat
• Access creator-friendly tools like Metronome, Tuner, AutoPitch (a pitch correction tool), and AudioStretch (a music transcription tool)
• Unlimited cloud storage and accessibility across all devices so you can take your Studio anywhere, and make music using just your desktop, tablet, or phone

Be part of a music-loving community:
• Connect and collaborate with like-minded artists
• Create playlists in your favorite genres
• Watch live streams from fellow creators

Propel your creator journey with BandLab Membership:
• Get early access to experimental features with Backstage Pass
• Score exclusive music industry access through Opportunities
• Release your music on major streaming platforms with Distribution
• Unlock more artist-centric features like Fan Reach and Profile Boost

Download BandLab now to explore a world of exciting possibilities!

► FEATURES:

• *NEW* Drum Machine – Our online sequencer makes it seamless to craft drum parts for your song. Create rhythmic drum patterns quickly with a library of genre-diverse drum sounds.
• Sampler – Make your own samples by recording sounds around you, or choose from over 15,000 royalty-free sounds and beats from BandLab Sounds to build a beat.
• 16-Track Studio – Bring your Studio anywhere. Access our multi-track DAW from anywhere – use it as an audio recording app, build a beat right from your phone, and more!
• 330+ Virtual MIDI Instruments – Need 808s for your beats, or synthesizers for your lead lines? Access over 330+ cutting-edge Virtual MIDI instruments to craft your beats right in Studio!
• Metronome and Tuner – Practice anywhere with our in-app Metronome and Tuner – designed for the modern music maker and producer.
• 300+ Vocal/Guitar/Bass Audio Presets – Unlock a curated library of world-class effects and presets for free. From ambient sounds to modulation effects, change up your sound in an instant.
• AutoPitch - Record your best vocals yet with this quality Auto-Tune alternative. Experiment and get creative with five unique vocal effects – Classic, Duet, Robot, Big Harmony, and Modern Rap.
• Looper – New to composing? Just pick a Looper pack in a genre you like, load it up, and you’ll have a starting point for building a simple beat or crafting a backing track!
• Mastering – Master unlimited tracks online for free before releasing your songs. Get a polished sound instantly with four mastering presets, created by Grammy-winning producers and sound engineers.
• Remix Tracks – Need inspiration for your next masterpiece? Put your unique twist on a public “Forkable” track shared by a fellow creator – remix their song and make it your own!
• Easy Beat Making - Craft a simple beat to rap or sing over with intuitive music making tools. Use royalty-free samples and artist packs as a quick starting point in Studio!
• Creator Connect - Connect with like-minded creators from around the world and start an epic music collaboration, wherever you are.

Terms of Use: https://blog.bandlab.com/terms-of-use/
Privacy Policy: https://blog.bandlab.com/privacy-policy/",2015-07-28T12:50:18Z,2025-11-19T23:06:13Z
ng,Nigeria,Music,6011,8,1471708417,Al Quran -Majeed القرآن الكريم,Ahmad Nakore,https://apps.apple.com/ng/app/al-quran-majeed-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id1471708417?uo=4,0.0,4.68262,13353,Music,"Experience the Qur’an in a new way: powerful listening, reading, and motivation in one app. Multiple reciters, online/offline playback, speed control, day/night mode. Daily verse, reading reminders, usage tracking. Your trusted Qur’anic companion.

Privacy Policy: https://www.ahmadnakore.com/privacy
Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2019-07-11T07:00:00Z,2025-11-07T06:47:52Z
ng,Nigeria,Music,6011,9,336353151,SoundCloud: The Songs You Love,SoundCloud Global Limited & Co KG,https://apps.apple.com/ng/app/soundcloud-the-songs-you-love/id336353151?uo=4,0.0,4.69252,5441,Music,"What’s next in music is first on SoundCloud. 
 
Be the first to find new music. Discover trending artists, play songs and share your favorite playlists. 
 
Access the world’s largest music discovery platform
- That’s 300M+ tracks from 30M+ artists in 193 countries
 
Discover new and trending music, picked just for you
- Play curated mixes and playlists based on the songs you love
 
Find exclusive music on SoundCloud
- Play songs, DJ sets and remixes you can’t find on any other streaming platform
 
Grow your music collection
- Find and save trending hits, underground remixes, deep cuts and more.
- Build playlists with your favorite songs.
 
Find and connect with your music community 
- Follow your favorite artists and connect with music fans directly and discover their playlists.
- Like, Repost and comment on any track, directly in the music player.
- Share songs and trending playlists on the app and social media.
 
Upload your own tracks 
- Upload your own music directly on the app to tap into a global fanbase of millions and start trending.
 
Help independent artists get paid
- Your fan-powered streams puts money in the pockets of the artists YOU want to support. 
 
Enjoy free music streaming with SoundCloud FREE, or level up with SoundCloud Go or SoundCloud Go+ to remove ads, play songs offline and more premium features.
 
SOUNDCLOUD FREE:
- Play music from independent and established artists (with ads).
- Listen to albums and playlists with unlimited skips.
- Stream music on your Wear OS smartwatch.
 
SOUNDCLOUD Go:
- Listen without ads
- Save tracks to listen offline — Play your favorite songs and playlists anytime, anywhere
 
SOUNDCLOUD Go+:
- Unlock premium Go+ tracks
- Access high-quality audio streaming
- Upgrade your DJ sets with exclusive app integrations
- Listen without ads
- Save tracks to listen offline — hear your favorite songs and playlists anytime, anywhere
- Support your favorite independent artists through Fan-Powered Royalties
 
SoundCloud Go+ gives you offline and ad-free listening to everything from mainstream songs to trending DJ sets and remixes.
 
Need help? Get in touch:
 
https://soundcloudcommunity.com
https://help.soundcloud.com
https://twitter.com/SCsupport
 
SoundCloud is available in English, Brazilian Portuguese, Dutch, French, German, Italian and Spanish.
 
 
Privacy Policy: https://soundcloud.com/pages/privacy
Terms of Use: https://soundcloud.com/terms-of-use",2011-07-09T15:22:45Z,2025-11-18T16:45:12Z
ng,Nigeria,Music,6011,10,1259949354,Offline Music Player,Md Zakir Hossain,https://apps.apple.com/ng/app/offline-music-player/id1259949354?uo=4,0.0,4.56827,5587,Music,"Import your favorite Music and Play anywhere! Listen OFFLINE, No LIMITS!


MAJOR FEATURES- 

● The easiest way to play offline music.
● Save music for offline access.
● Play offline–no internet or WiFi needed.
● Easily transfer tracks to iPhone, iPad, and iPod touch.
● Almost all the popular format is supported.
● .Mp3,.Flac,.wav, .caf, .wav, .aac etc.
● Add music to your favorite playlist.
● Beautiful design.
● Headphone control.
● Create & manage playlists.
●  Powerful music player.
●  Equalizer.
●  Display album artwork.
●  Playlist shuffle and repeat modes.
●  Background music playback.
●  Lockscreen control support.

        “Download it now”

Read our full Terms of services and our Privacy policy at:

Privacy policy: https://offlinemusicplayer.ltd/privacy.html
Terms of services: https://offlinemusicplayer.ltd/terms.html",2017-07-29T11:10:30Z,2025-11-04T02:11:21Z
