country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
tn,Tunisia,Business,6000,1,288429040,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/tn/app/linkedin-job-search-news/id288429040?uo=4,0.0,4.62594,2382,Business,"Find the job that's right for you. With the LinkedIn app, you can nurture relationships, stay up-to-date with business news, and grow your professional network. Begin your job search equipped with powerful tools to help you grow professionally, such as job alerts and interview tips, all conveniently available in one app. 



Elevate your career by building a professional profile to showcase your work or company and find your next job. Stay updated on the latest workplace and industry news.


LinkedIn simplifies professional social networking, job searching, and job hiring. Utilize the LinkedIn app to connect with industry leaders, share articles, engage in conversations with fellow professionals, and increase your chances of securing jobs in your field.

LinkedIn simplifies professional social networking, job searching, and job hiring. Utilize the LinkedIn app to connect with industry leaders, share content that helps you grow, engage in conversations with fellow professionals, and increase your chances of securing jobs in your field.


Find freelance, local, or remote jobs. Easily apply with your professional profile in just a few steps and take the next steps in enhancing your next career.


Why You’ll Love LinkedIn:
- Job search: Find your next job and the ideal workplace for you. Apply using your LinkedIn profile and/or resume and get hired.
- Business news: Write your own posts and share articles with your connections.
- Career tools: Get job alerts and full job listings tailored to you.
- Social networking: Create your own profile, find business connections, and highlight your skills within the business community.


Take the first steps in growing your career today with LinkedIn.


LinkedIn App Features:

JOB SEARCH AND CAREER FINDER
• Local jobs or remote: Start your job search and find the right career for yous
• Career finder: Seek jobs and new business opportunities for every type of profession.
• Freelancer or contractor? Discover freelance opportunities and contracts in your field.
• Job alerts: Get notified when new jobs are posted from the companies you follow.


BUILD YOUR COMMUNITY
• Grow your career: Follow companies and professionals to see updates and content on the latest topics.
• Build your professional network by connecting with new business contacts and easily find industry leaders
• Social networking for businesses: Showcase your company or product to find new opportunities.


BUSINESS NEWS
• Get the latest business news and stay current on industry trends every industry.
• Follow industry leaders for news that is relevant to your career.
• Share articles and posts with the LinkedIn community and your business contacts.


PROFESSIONAL PROFILE
• Keep your LinkedIn profile up-to-date as an online resume and CV to highlight your career experience and increase your chances of getting hired.
• Share your accomplishments, job responsibilities, and skills on your professional profile.


SOCIAL NETWORKING
• Grow your business connections and join groups that share and support your goals.
• Connect to the largest social network of professionals from around the globe.


Take the first steps in finding the right job for you!


Build your profile, apply for your next job, and connect with recruiters, professionals, and companies you’re interested in. LinkedIn helps you start and finish your job search.


Want to make the most of LinkedIn? Upgrade to a Premium subscription for exclusive tools.


We ask for a few permissions when you use this app. Here’s why: http://linkd.in/1l0S8YZ



-



LinkedIn members have the option to verify their identity by securely uploading a government ID and/or taking a live selfie using certain trusted partners. For more information about the data collected by our trusted partners through this process and the periods for which it will be retained, see: https://www.linkedin.com/help/linkedin/answer/a1359065",2019-02-03T08:00:00Z,2025-11-19T19:20:33Z
tn,Tunisia,Business,6000,2,1386412985,WhatsApp Business,WhatsApp Inc.,https://apps.apple.com/tn/app/whatsapp-business/id1386412985?uo=4,0.0,4.63211,6328,Business,"About this app

Everything you love about WhatsApp plus built-in tools for business
WhatsApp Business is a free-to-download app with built-in tools to help you work smarter, build trust, and grow your business. 

You get  free calls* and free international messaging* plus business features to help you do more with conversations.

Download the app to get business benefits like these:

• Work smarter. Save time by letting the app do the work for you! Send customers automated quick replies and away messages so you never miss an opportunity. Use labels to quickly organize, filter, and find important conversations. Create a status to share an offer or news, and even take orders and payments** in-app to create a great customer experience. 


• Build relationships and trust. With a professional business profile on a secure platform,  you build credibility and trust with customers. Use the app to provide more responsive customer support and build long-term loyalty. Subscribe to Meta Verified*** to reinforce your authenticity.


• Sell more and grow. Get discovered, advertise, and make more valuable customer connections. Boost sales by sending targeted offers to customers; create ads that click to WhatsApp; showcase your product catalog; and give customers the convenience of in-app orders and payments.**

FAQs
Are all features free?
The app is free to download and use, with a mix of free and paid features.

Can I still use my personal WhatsApp?
Yes! As long as you have two different phone numbers, your business and personal accounts can live together on a single device.  

Can I transfer over my chat history?
Yes. When you set up the WhatsApp Business app, you can restore a backup from your WhatsApp account to transfer your messages, media, and contacts to your business account.

How many devices can I connect?
You can have a total of five web-based devices or mobile phones on your account (up to 10 if you subscribe to Meta Verified***). 

*Data charges may apply. Contact your provider for details.
**Not available in all markets
***Available soon globally

Terms of Service: https://www.whatsapp.com/legal/terms-of-service
 
 Learn more about messaging privately: https://www.whatsapp.com/privacy
 
 Learn more about WhatsApp safety: https://www.whatsapp.com/security",2019-04-10T09:49:03Z,2025-11-21T02:04:04Z
tn,Tunisia,Business,6000,3,1113153706,Microsoft Teams,Microsoft Corporation,https://apps.apple.com/tn/app/microsoft-teams/id1113153706?uo=4,0.0,4.61075,3106,Business,"Whether you’re connecting with your community for an upcoming activity or working with teammates on a project, Microsoft Teams helps bring people together so that they can get things done. It’s the only app that has communities, events, chats, channels, meetings, storage, tasks, and calendars in one place—so you can easily connect and manage access to information. Get your community, family, friends, or workmates together to accomplish tasks, share ideas, and make plans. Join audio and video calls in a secure setting, collaborate in documents, and store files and photos with built-in cloud storage. You can do it all in Microsoft Teams. 

Easily connect with anyone: 
• Skype is now part of Teams. Continue where you left off with your chats, calls and contacts in Microsoft Teams Free. 
• Meet securely with communities, teammates, family, or friends.
• Set up a meeting within seconds and invite anyone by sharing a link or calendar invite. 
• Chat 1-1 or to your entire community, @mention people in chats to get their attention. 
• Create a dedicated community to discuss specific topics and make plans*.
• Work closely and collaborate by keeping conversations organized by specific topics and projects with teams and channels.
• Video or audio call anyone directly in Teams or instantly convert a group chat to a call. 
• Use GIFs, emojis, and message animations to express yourself when words aren’t enough.
 
Accomplish plans and projects together: 
• Send photos and videos in chats to quickly and easily share important moments.
• Use cloud storage to access shared documents and files on the go. 
• Organize shared content in a community — events, photos, links, files —so you don’t have to waste time searching*. 
• Get the most out of your meetings by using screen share, whiteboard, or breakout in virtual rooms.
• Manage access to information and ensure the right people have access to the right info, even when people join and leave projects.
• Use task lists to stay on top of projects and plans - assign tasks, set due dates, and cross off items to keep everyone on the same page. 

Designed to give you peace of mind: 
• Securely collaborate with others while maintaining control over your data.
• Keep communities safe by allowing owners to remove inappropriate content or members*.
• Enterprise-level security and compliance you expect from Microsoft 365**. 

*Available when using Microsoft Teams with your Microsoft account.

**Commercial features of this app require a paid Microsoft 365 commercial subscription or a trial subscription of Microsoft Teams for work. If you’re not sure about your company’s subscription or the services you have access to, visit Office.com/Teams to learn more or contact your IT department. 

By downloading Teams, you agree to the license (see aka.ms/eulateamsmobile) and privacy terms (see aka.ms/privacy). For support or feedback, email us at mtiosapp@microsoft.com. EU Contract Summary: aka.ms/EUContractSummary

Consumer Health Data Privacy Policy   
https://go.microsoft.com/fwlink/?linkid=2259814",2016-11-02T21:19:53Z,2025-11-19T10:48:46Z
tn,Tunisia,Business,6000,4,546505307,Zoom Workplace,"Zoom Communications, Inc.",https://apps.apple.com/tn/app/zoom-workplace/id546505307?uo=4,0.0,4.3055,491,Business,"Reimagine teamwork with Zoom Workplace, an AI-first, open collaboration platform that combines team chat, meetings, phone*, whiteboard, calendar, mail, docs, and more. Use Zoom Workplace for iOS with any free or paid Zoom license.

And with your Pro or Business Zoom license you have access to AI Companion woven throughout Zoom Workplace. You can get caught up quickly with a summary and key points from your unread messages, draft new content, and keep conversations focused and impactful. It’s your personal assistant across Zoom Workplace, available at no additional cost with your paid Zoom license, available wherever you are from your mobile device. 

BE MORE PRODUCTIVE ON THE GO WITH AI COMPANION* ON YOUR MOBILE DEVICE
Quickly get prepared for upcoming meetings
Have AI Companion* generate a first draft of content 
Get a summary of your unread Team Chat messages

STREAMLINE COMMUNICATIONS WITH A SINGLE APP
Schedule or join a video meeting with one tap
Chat with colleagues and external contacts
Place and receive phone calls or send SMS text messages*

IMPROVE PRODUCTIVITY
Organize and share information at scale with Zoom Docs 
Receive automated meeting summaries with AI Companion*
Brainstorm on virtual whiteboards

BOUNCE BETWEEN LOCATIONS
Move a live meeting or call seamlessly between devices with one tap
Start a Zoom Rooms meeting and share content*
Multitask with Picture in Picture on iPhone or Split View on iPad

WORK SAFELY ON THE GO
Stay focused on the road with Apple CarPlay support
Customize Siri Shortcuts for hands-free voice commands
Keep your data secure with enterprise-grade security and SSO*


* A paid Zoom Workplace subscription or other license may be required to use certain product features. Upgrade your free account today to start gaining these benefits. AI Companion may not be available for all regions and industry verticals. Some features not currently available across all regions or plans and are subject to change.

UPGRADE YOUR FREE ACCOUNT TO ZOOM WORKPLACE PRO AND GET AI COMPANION INCLUDED 
Host unlimited meetings up to 30 hours each
Record meetings to the cloud (up to 10GB)
Assign meeting co-hosts and schedulers

Your Zoom Workplace Pro subscription will automatically renew unless you cancel at least 24 hours before the end of the free trial or the plan billing period. After you start your subscription, you can manage it from either App Store settings or iOS settings. The amount charged to the payment method in your App Store account will vary by the plan you select and your country. The plan price will be displayed before you start your free trial or confirm your purchase.

We’d love to hear from you! Join the Zoom community: https://community.zoom.com/

Follow us on social media @zoom

Terms of Service: https://www.zoom.com/terms/
Privacy Statement: https://explore.zoom.us/privacy/

Have a question? Contact us at https://support.zoom.com/hc",2012-08-15T07:00:00Z,2025-11-19T01:44:12Z
tn,Tunisia,Business,6000,5,469337564,Adobe Acrobat Reader: Edit PDF,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,https://apps.apple.com/tn/app/adobe-acrobat-reader-edit-pdf/id469337564?uo=4,0.0,4.53946,684,Business,"Major new update:

The new Adobe Acrobat AI Assistant makes it easier than ever to do more with PDFs.

• Work across multiple files in one place with PDF Spaces. Collaborate, store, and use AI Assistant across files
• Use voice or text prompts with AI Assistant chatbot 
• Ask questions and get cited answers about details in your document, including charts, graphs, and tables with Figures Q&A
• Easily share the responses you get
• Try voice support to ask queries and have answers read aloud. 
• Use new Hands-free to keep the conversation flowing with voice only
• Instantly generate summaries from your PDFs with Generative AI Summaries 
• Get content for emails, text, study notes, blogs, and more

[Adobe Acrobat AI Assistant is a paid feature*, free for a limited time]

The world’s most trusted PDF reader, PDF editor, and PDF maker with more than 635 million installs. View, share, annotate, add comments, and sign documents - all in one app. You can store your files online and read documents anywhere.

Get your 7-day free trial and try all the features of Acrobat Reader.

Paid features:

Edit PDFs
• With our PDF editor, edit text and images directly in your PDF (mobile only)
• Fix typos or add paragraphs with the PDF editor
• Easily add, delete, or rotate any image
• Use this PDF signer and PDF viewer to get your docs just right

Recognise text
• Optical Character Recognition (OCR) turns scanned PDFs into searchable, editable text to use in other formats


Merge & organise PDFs with PDF Converter
• Split or combine multiple files into one PDF with PDF converter
• Use the PDF editor to insert, delete, rotate, crop & reorder pages in your PDF file

Create, convert & export PDFs
• Easily convert to PDF from any file type including Microsoft, Google Docs, and images
• Export and convert PDFs to Microsoft Word, Excel, PowerPoint, or various image files
• Convert web pages to PDFs 

Compress & highly secure PDFs
• Compress PDF files for easy saving and sharing
• Password Protect PDF documents

Have your PDF read aloud
• Listen to your PDFs on the go, great for reading support
• Choose free voices or upgrade for high-quality options

Subscribe now to access all these features and use Acrobat across mobile and web platforms.

Free-to-use features:

PDF signer: Fill & Sign
Adobe Fill & Sign is free & available in Acrobat Reader. A form filler and PDF signer that lets you fill, sign, and send

Liquid mode in the optimal PDF viewer
• Get the best PDF reading experience with this PDF viewer
• Search, navigate & adjust font size or spacing to fit your screen

Share PDFs & collaborate
• Share files for commenting or viewing, tag others with @mention, and manage all comments in one place
• Receive activity notifications for shared files

Annotate PDFs 
• Add sticky notes, comments, and highlight text

Store & manage files
• Link online storage accounts like Microsoft OneDrive, Dropbox, or Google Drive
• Star files to quickly open important documents

Connect the PDF viewer and reader to Google Drive
• A PDF creator that lets you edit, compress, and export Google Drive files with a subscription

Work with scanned documents
• Access scanned PDFs from Adobe Scan in Acrobat to fill, sign, and share

The Acrobat Reader mobile app is designed to work with customers who have Enterprise Mobility Management (EMM) enabled.

*An Adobe Acrobat AI Assistant add-on plan is available to Acrobat Individual customers. iOS 16 or above required.

Terms & Conditions: Your use of this application is governed by the Adobe General Terms of Use http://www.adobe.com/go/terms_linkfree_uk and the Adobe Privacy Policy http://www.adobe.com/go/privacy_policy_linkfree_uk

Do not sell or share my personal information www.adobe.com/go/ca-rights-linkfree",2011-10-17T07:00:00Z,2025-11-13T16:07:00Z
tn,Tunisia,Business,6000,6,6502348779,Caller ID - Spam Call Blocker,APERO TECHNOLOGIES GROUP JOINT STOCK COMPANY,https://apps.apple.com/tn/app/caller-id-spam-call-blocker/id6502348779?uo=4,0.0,4,10,Business,"Identify Unknown Callers & Block Spam with Our Caller ID App for iOS!

Take control of your calls with our advanced Caller ID app. Instantly identify unknown numbers and block spam calls effortlessly. Our cutting-edge technology ensures you always know who's calling before you answer.

Why Choose Our Caller ID App?
- Real-Time Caller Identification – Access a vast database of millions of phone numbers, providing instant caller details, including name, number location, and social media profiles.
- Automatic Spam Call Blocking – Say goodbye to robocalls, telemarketers, and scammers with our smart blocking system.
- Community-Powered Protection – Report unwanted calls and contribute to a safer communication environment.

Key Features:
- Caller ID with Real Name Display – Instantly recognize incoming calls.
- Spam & Robocall Blocking – Filter out suspicious and unwanted calls.
- Custom Call Blocking & Whitelisting – Personalize your call preferences.
- Extensive Phone Number Database – Identify businesses and access caller details.
- User-Reported Spam Alerts – Stay ahead of new threats.
- Detailed Call History – Review incoming, outgoing, and missed calls with full details.

Join the Fight Against Unwanted Calls!
- Each year, we block billions of scam and unauthorized calls, ensuring a safer experience for our users. Your feedback helps us improve our spam protection, making our app even more effective. Rest assured, your privacy is our priority—we never share your contact information without your consent.
- Protect your phone and enjoy a seamless calling experience with our Caller ID & Spam Call Blocker app for iOS today!

Subscription Information
- Your subscription will auto-renew unless manually disabled at least 24 hours before the end of the billing cycle.
- Users can manage their subscription and disable auto-renewal through their Account Settings.
- If a subscription is purchased after a free trial, any unused trial period is forfeited.
- Payment is charged to your iTunes Account upon purchase confirmation.
- Renewal charges will apply within 24 hours before the current billing cycle ends, based on the selected plan.

For more details, please check our policies:
- Privacy Policy: https://sites.google.com/view/callerid-privacy--policy/home
- Terms of Use: https://sites.google.com/view/callerid-term-of-service/home",2024-05-07T07:00:00Z,2025-10-08T16:08:19Z
tn,Tunisia,Business,6000,7,514643583,Meta Business Suite,"Meta Platforms, Inc.",https://apps.apple.com/tn/app/meta-business-suite/id514643583?uo=4,0.0,4.4832,3959,Business,"Grow your business and connect with more people with Meta Business Suite. Use this app to: 


• Create, schedule and manage posts and stories across your Facebook Page and Instagram account
• Connect with more customers by responding to all of your messages and comments in one place – you can even automate responses to save time
• View insights about how people are interacting with your posts, stories and ads so that you can create content that resonates with them
• View your notifications and to-do list so that you can stay on top of what matters most",2012-06-28T17:01:20Z,2025-11-18T18:50:09Z
tn,Tunisia,Business,6000,8,1501857805,Webby App,"WebinarFuel, LLC",https://apps.apple.com/tn/app/webby-app/id1501857805?uo=4,0.0,5,1,Business,"The Webby App is designed to let you see your scheduled full training webinars on your mobile phone. Just enter your webinar code provided and you are on your way. Our app makes it simple to engage with the presenter, ask questions and have the best overall experience during your live webinar event.",2020-05-12T07:00:00Z,2024-05-01T08:34:15Z
tn,Tunisia,Business,6000,9,6753871122,scout car,Amine BEN GAMRA,https://apps.apple.com/tn/app/scout-car/id6753871122?uo=4,0.0,0,0,Business,"ScoutCar allows you to conveniently browse and view the ScoutCar website directly. With a simple and intuitive interface, you can stay informed about ScoutCar’s services",2025-10-29T07:00:00Z,2025-11-11T22:42:31Z
tn,Tunisia,Business,6000,10,6751152308,CountiQ Finance,Ahmed  Bafageeh,https://apps.apple.com/tn/app/countiq-finance/id6751152308?uo=4,0.0,4,2,Business,"CountiQ makes multi-currency money tracking finally simple. Log income, expenses, and debts per contact in their original currencies (USD, EUR, SAR, and 200+ more), then see a unified balance in your base currency—instantly. With live FX rates updated every 30 seconds, clean PDF exports, and built-in AI insights, CountiQ is the easiest way to keep personal and freelance finances crystal-clear.

Made for people who live in more than one currency

Expats and frequent travelers

Freelancers paid in USD/EUR while spending locally

Online sellers and side hustlers with cross-border clients

Anyone who tracks what “Ahmed owes” across multiple partial payments

Why CountiQ

Track debts per contact: Record multiple payments for the same person in different currencies and let CountiQ handle the math.

200+ currencies with live FX (30s): Enter amounts “as received”—no manual conversion.

Unified balances: View totals in your base currency and per contact/project.

Clean, shareable PDFs: Export professional statements (income, expense, net) in a click.

AI assist: Ask quick questions (“Where did my money go this month?”) and get concise summaries.

Modern, comfortable UI: Fast, minimal, and designed for focus.

No ads: Stay productive without interruptions.

Secure sign-in: Sign in with Apple or Google.

Multi-language: English, Arabic, Turkish, French, German (more coming).

How it works (in 60 seconds)

Add a contact.

Log two payments in different currencies (e.g., EUR + USD).

Instantly see the combined balance in your base currency.

Export a tidy PDF or ask AI for a quick summary.

Free launch period

Enjoy all features free for 60 days from launch. After that, pick the plan that fits:

Free — up to 5 clients, 40 transactions, 10 PDFs, 10 AI prompts, 3 currencies, basic invoice storage.

Pro — everything you need with generous limits: $1.22/month or $9.90/year.
(Prices may vary by region. Taxes handled by the stores.)

Transparency you can trust

FX rates refresh every 30 seconds. Each entry stores its original currency and timestamp for clarity.

Totals are shown using mid-market style conversions for a fair, comprehensible view.

CountiQ provides insights, not financial advice.

Whether you’re tracking what friends owe after a trip, billing clients across borders, or simply keeping personal budgets straight, CountiQ gives you the clarity you’ve been missing—fast.

SUBSCRIPTIONS



CountiQ Pro – Monthly
• Duration: 1 month (auto-renewing)
• Price: US $1.19 / month (price varies by region; taxes may apply)

CountiQ Pro – Yearly
• Duration: 12 months (auto-renewing)
• Price: US $9.99 / year (~US $0.83/month; price varies by region; taxes may apply)

What you get (both plans)
• Unlimited use of all Pro features
• Unlimited transactions
• Multi-currency with real-time FX
• PDF exports
• Advanced budgeting & categories
• Smart reminders
• Priority support

Billing & Renewal
• Payment is charged to your Apple ID at confirmation of purchase.
• Subscriptions renew automatically unless auto-renew is turned off at least 24 hours before the end of the current period.
• Your account will be charged for renewal within 24 hours prior to the end of the current period.
• Manage or cancel your subscription any time in Settings > [your name] > Subscriptions.

Legal
• Privacy Policy: https://countiq.app/privacy
• Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-09-10T07:00:00Z,2025-11-20T13:56:05Z
