country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ao,Angola,Travel,6003,1,1437157286,"Yango: taxi, food, delivery",YHub ZAF Pty Ltd,https://apps.apple.com/ao/app/yango-taxi-food-delivery/id1437157286?uo=4,0.0,4.79411,75843,Travel,"Yango is an easy-to-use app for getting around the city
Fill your life with movement. Get the whole city in your hands, ride wherever you want, and enjoy comfort at an affordable price. With Yango, everything is possible!

Choose the right service class for you
Reach your destination at the right level of comfort and price for you. Choose from several service classes. Economy is awesome for when you need a ride fast. Comfort lets you sit back and just enjoy the ride. And The Fastest is the best in case when the service class doesn’t matter and you just need the closest ride available!

Ride safely
Safety is our top priority. You’ll see who’s coming to pick you up and in which car right in the app. You’ll see info about the driver, such as their name and rating, and will be able to share your route with whomever you like so they know where you are.

Smart destinations
Yango will suggest destinations for your rides based on your ride history, like first offering ‘home’ as a destination because it’s your most common request on weekday evenings. Ride the smart way!

Multiple destinations, one route
Yango makes everyday life super easy. Like picking the kids up from school, dropping a friend off at a market, and doing some quick shopping on the way. Just add a new stop in the app, and Yango will recalculate a new route for the driver. 

Request rides for close ones
Show you care by requesting rides for friends and relatives. Get your mother to a doctor’s appointment, book a ride to pick up your special someone, or get each of your friends a ride home after a night out. You can request up to 3 cars at once.

Refer friends and get discounts
Invite friends to try Yango and save together. Share your personal promo code, get a discount on your next ride and grant your friend with an extra discount on their first ride. It’s as easy as that.

Meet Delivery - it's like a taxi service, but for your packages

We've also built in a fast delivery service into Yango - use Delivery to quickly send personal packages or even business orders by courier anywhere in the city. Delivery is suitable for any item that can be transported by scooter or car. 

An international service
Yango is a ride-hailing, mobility, and delivery aggregator service that operates in more than 20 countries around the world, including Ghana, Cote d'Ivoire, Cameroon, Senegal and Zambia.

Yango is an informational service and not a transportation or taxi services provider. Transportation services are provided by third parties.
The size and duration of the discount for the first rides requested via the Yango app vary depending on the country and city. Open the app for specific details.

Privacy Policy:
https://yango.com/legal/yango_privacy_notice
Yango Plus subscription conditions:
https://deli.yango.com/en-IL/about/docs/legal/yango_plus_conditions",2018-10-04T10:14:55Z,2025-11-17T09:08:03Z
ao,Angola,Travel,6003,2,780125801,inDrive: taxi rides platform,SUOL INNOVATIONS LTD,https://apps.apple.com/ao/app/indrive-taxi-rides-platform/id780125801?uo=4,0.0,4.71354,3285,Travel,"Silicon Valley’s new success story, inDrive is a free ride-hailing app available in more than 600 cities in 47 countries. We are growing fast by putting the power back in the hands of people.

inDrive first emerged as a taxi alternative — a mobility app where affordable rides for passengers would still mean well-paid rides for drivers.
 
But now, there’s so much more to it. You can use inDrive to travel to other cities, send and receive packages, book a truck for your personal or business needs. You can also sign up as a driver, courier, or tasker.

The main idea is the same for all services: A fair price is the one you agree on — not hope for. inDrive exists to prove that people can always come to an agreement. 

What We Offer

CITY RIDES
Affordable everyday rides with no surge pricing. You get to set the fare and choose your ride based on the driver’s price offer, rating, number of completed rides, car model, and pickup time.

INTERCITY RIDES
A safe and convenient way to travel between cities. Specify your destination, pickup date, time and location, offer your fare and request a ride. 

COURIER SERVICES
This door-to-door on-demand delivery service is a fast and safe way to send and receive packages of up to 20 kilos. Offer your fare ​​and track your delivery in real-time.

FREIGHT SERVICES
Book a truck for your delivery and moving needs. Set the time and the fare and specify any extra details in the comments. Wait for the offers to roll in and choose the one that works best for you.

Why choose inDrive
QUICK AND EASY
It's simple and fast to request an affordable ride — just enter points ""A"" and ""B"" in the app, name the fare you are willing to pay, and choose your driver.

OFFER YOUR FARE
inDrive provides you with a tailored, surge-free ride-hailing experience. Here you, and not the algorithm, decide on the fare and choose the driver. We do not set the pricing according to time and mileage like other services. You agree on a win-win price with the driver before the ride starts.

CHOOSE YOUR DRIVER
inDrive lets you choose your driver from a list of the drivers who accepted your ride request. Pick them based on the best deal, arrival time, driver's rating, number of completed trips, and even a car model.

STAY SAFE
See the driver's name, car model, license plate number, and the number of previously completed trips before accepting the ride. During your trip, you can share the driver's information and the real-time location of the car with your family or friends using the ""Share Your Ride"" button. Your real-time geolocation can be shared via messengers, social networks, e-mail, or SMS Text. All of that is there to make your experience safe & trusted. We're continuously adding new safety features to the app to make sure both riders and drivers can enjoy 100% safe rides.

ADD TRAVEL OPTIONS
Do you have specific requirements? Specify travel add-ons — SUV, extra stops on the way, a child seat, or accommodating special needs. You can write your specific needs or any other details in the comments field like ""traveling with my pet,"" “I have luggage,"" etc.

SIGN UP AS A DRIVER & MAKE EXTRA MONEY
If you have a car, inDrive provides an excellent opportunity to make extra money. Set your schedule and enjoy complete transparency with inDrive. See your passenger's drop-off location and fare before accepting the ride request. If the passenger’s price doesn’t seem enough, you can always offer your fare or skip the rides you don’t like with no penalties.
Best of all, low-to-no service rates mean you make more money driving with inDrive!

We can't wait for you to experience it. Install the app and let’s ride!",2013-12-20T08:00:00Z,2025-11-20T08:07:32Z
ao,Angola,Travel,6003,3,693137280,Heetch - Ride-Hailing App 24/7,Heetch,https://apps.apple.com/ao/app/heetch-ride-hailing-app-24-7/id693137280?uo=4,0.0,4.48404,42837,Travel,"HEETCH is your professional and friendly transport solution, offering VTC, LVC, taxi, and street taxi services across several countries. With drivers available 24/7, Heetch is the perfect solution when you need to get home, go to work, when public transport isn’t available, or simply to get around the city. Heetch provides you with a practical, affordable, and friendly experience.

Heetch breaks the conventional rules of the market to better serve you:
The Cheapest Prices: No surprises! The price of your ride is displayed upfront as soon as you book.
Flexible Payment Methods: Pay the way that works best for you—cash or card (depending on the country).
Real-Time Location Sharing: For added security, you can share your ride’s location during your journey.
A Rewarding Loyalty Program: Heetch rewards you for being loyal.
Referral Program: Invite friends and earn credits for your next rides.
Heetch is also a people-first application that cares for everyone. Our customer service is responsive, attentive to your needs, and always ready to help. 

Affordable Prices
We work hard to ensure our rides are competitive and accessible to everyone. To do so, we’ve implemented features such as the lowest commission on the market.
And when it’s time to pay, Heetch makes it easy—cash is accepted!

Enjoy Discounts
Weekly updated promo codes.
A referral offer where both the referrer and the referee benefit from discounts.

We Ensure Your Safety
Make your journey safe and reliable with Heetch.
Before your trip, you can check the car model and license plate number to make sure you’re in the right car.
Once on the road, you can track your ride through the GPS tool in the app and share your location with your loved ones in real-time.

Easy-to-Use App
Install the app on your phone.
Create your Heetch account.
Enter your destination.
Select the offer that best suits your needs.

Where You Can Use Heetch
In France, Heetch offers rides at a better price than taxis and other VTC apps in cities like Paris, Lyon, Marseille, Montpellier, Lille, Nice, Bordeaux, Toulouse, Nantes, and Strasbourg.
In Belgium, Heetch operates in Brussels, Antwerp, Ghent, and Leuven.
In Algeria, Heetch is available in Algiers, Oran, Constantine, Annaba, Sétif, Tizi-Ouzou, Sidi Bel Abbès, Aïn Témouchent, Mostaganem, Tlemcen, Bordj Bou Arreridj, Bejaia, Mascara, Relizane, Batna, Tipaza, Boumerdes, and Blida.
In Senegal, ride with Heetch in Dakar.
In Ivory Coast, enjoy Heetch in Abidjan.
In Mali, travel with Heetch in Bamako.
In Angola, travel with Heetch in Luanda.

Transport Solutions for Every Need
Heetch: Economical and fast. For journeys accessible at all times, Heetch is there for you. No matter the time or place, our drivers are available for your trips. (in France)
Heetch Express: Get there faster. Need to get around in the blink of an eye? Enjoy an ultra-fast VTC service. No more time to waste, your driver is there in an instant. (in France)
Heetch Berline: High-end cars. Drive in elegant, spacious and comfortable cars. Whether for your business meetings, outings or trips, Heetch Berline provides a premium service. (in France)
Heetch Pro: Do ​​you want to get from point A to point B? Enjoy an affordable journey by ordering Heetch Pro. (in Belgium)
Heetch Premium: high-end cars for comfortable journeys, let yourself be carried away with Heetch Premium. (in Belgium)
Heetch PMR: accessible cars for people with reduced mobility with Heetch PMR. (available in Brussels only)
Heetch Van: are you many? Are you loaded? Don't worry, Heetch Van can take you all. (available in Brussels only)
Heetch Eco: do you want to travel from point A to point B? Enjoy an affordable journey by ordering Heetch Eco. (in Senegal, Ivory Coast and Mali)
Heetch Fresh: Premium service that guarantees you air conditioning on board. (in Senegal and Mali)
Heetch Confort: Premium service. Drive aboard elegant, spacious and comfortable cars (in Ivory Coast)",2013-09-01T01:19:35Z,2025-11-20T08:12:50Z
ao,Angola,Travel,6003,4,675033630,Bolt: Request a Ride,BOLT TECHNOLOGY OU,https://apps.apple.com/ao/app/bolt-request-a-ride/id675033630?uo=4,0.0,4.64227,3620,Travel,"Make getting around easier with Bolt! Whether you need a ride across town, an airport transfer, or a scooter to zip through traffic, our app makes it easy to move around confidently and conveniently.

WHY CHOOSE BOLT?
- Request a ride in seconds: enjoy safe, affordable rides with top-rated drivers.
- Transparent pricing: see your fare upfront so there are no surprises.
- Multiple payment options: pay securely using a credit/debit card, Apple Pay, Google Pay, or cash.

EASY ORDERING:
- Open the app and set your destination.
- Choose from various ride types to suit your needs (Comfort, Premium, Electric, XL, and more).
- Track your driver in real time.
- Arrive in comfort and rate your experience.

SAFETY FIRST:
Some of Bolt’s safety features require the app to run in the background.

- Emergency assist button: discreetly alert our Safety Team in case of emergencies.
- Audio trip recording: record audio during rides for added peace of mind.
- Private phone details: your contact information stays confidential when you call a driver.

PLAN AHEAD:
Need an airport transfer or an early morning ride? You can schedule your trip in advance from 30 minutes to 90 days before your expected pickup time.

*JOIN BOLT PLUS TO UNLOCK PREMIUM FEATURES!
Get the best of Bolt with Bolt Plus. Enjoy exclusive perks that save you time and money, making every ride smoother and more convenient.

*BOLT DRIVE:
We're committed to our carbon net zero goal by 2040. That's why we're increasing the lineup of electric and hybrid cars in Bolt Drive, our car-sharing service. You can also rent Bolt scooters and e-bikes via the app.

*DELIVER PACKAGES
Use the 'Send' ride type to arrange fast and convenient parcel delivery in your city.

Bolt is available in 50 countries and 600+ cities worldwide (see the full list at https://bolt.eu/en/cities/). We rebranded from Taxify to Bolt in 2019.

Bolt is the perfect taxi alternative for fast, reliable, and affordable rides. The app provides a seamless ride-ordering experience whether you’re commuting, travelling, or running errands. So, the next time you need a ride, choose Bolt!

*Bolt options differ by location. Check the app for availability in your city.

Earn money driving with the Bolt Driver app. Sign up: https://bolt.eu/driver/

Questions? Get in touch via info@bolt.eu or at https://bolt.eu

Follow us on social media for updates, discounts, and offers!

Facebook — https://www.facebook.com/Bolt/
Instagram — https://www.instagram.com/bolt
X — https://x.com/Boltapp",2013-07-24T04:44:15Z,2025-11-17T08:08:41Z
ao,Angola,Travel,6003,5,6754632339,Vambazar,"AQUIAS H COMERCIO & PRESTACAO DE SERVICOS, (SU), LDA",https://apps.apple.com/ao/app/vambazar/id6754632339?uo=4,0.0,5,2,Travel,"A Vambazar é uma plataforma moderna de mobilidade que te permite pedir táxis, mototáxis e serviços de mudanças de forma rápida, segura e conveniente.

Com a Vambazar, podes:

Pedir um táxi ou mototáxi em poucos toques.
Solicitar serviços de transporte e mudanças com viaturas adaptadas às tuas necessidades.
Acompanhar a tua viagem em tempo real no mapa.
Pagar com carteira digital, dinheiro ou outros métodos disponíveis.
Beneficiar de promoções e programas de fidelização.
Viaja com conforto, segurança e eficiência — tudo num único aplicativo.
Descarrega agora o Vambazar Passageiro e descobre uma nova experiência de mobilidade urbana.",2025-10-31T07:00:00Z,2025-11-09T17:57:01Z
ao,Angola,Travel,6003,6,1592341023,Yango Lite: lite Yango version,YHub ZAF Pty Ltd,https://apps.apple.com/ao/app/yango-lite-lite-yango-version/id1592341023?uo=4,0.0,4.71875,3897,Travel,"Small app

Yango Lite is a lightweight taxi app for getting around the city. It's nearly 10 times smaller than the well-known Yango taxi app.

Any internet connection

Yango Lite app is designed to work with any internet connection, even 2G and weak signals!

Compatibility across devices

The app is also compatible with all devices, giving you more flexibility to get where you’re going at the same great savings as with the larger Yango app.

Choose the right service class for you

Reach your destination at the right level of comfort and price for you. Choose from several service classes. Start is perfect for short taxicab rides. Economy is awesome for when you need an affordable car fast with this ride app. Comfort lets you sit back and enjoy the ride. The Delivery service class let you send and receive things from businesses and friends and family. And The Fastest offers rides when the service class doesn’t matter… you need the closest available taxi!

Track your driver’s location

Want to see your taxicab driver's current location? With Yango Lite, you can see their route and current location in real time directly in this ride app.

An international service

Yango Lite is a ride-hailing service that operates mobility and delivery aggregators in 19 countries, including Ghana, Cote d'Ivoire, Cameroon, Senegal and Zambia.

Enjoy your ride!

Yango is an informational service and not a transportation or taxi services provider. Transportation services are provided by third parties. 
The 30% (max 4 GH₵/450 FCFA) discount is valid on the first three rides for new users in Accra, Kumasi, Douala and Yaoundé until 31.12.2023. Up to 30%/20% (max 400 FCFA/500 FCFA) discount is valid on the first three rides for new users in Bouake/Abidjan until 31.12.2023.

If you would like to share your feedback on the Yango Lite taxi app or a specific taxi company, please use the feedback form located at https://yango.com/en_gh/support/",2022-06-27T07:00:00Z,2025-11-05T08:20:58Z
ao,Angola,Travel,6003,7,367003839,Booking.com Travel Deals,Booking.com B.V.,https://apps.apple.com/ao/app/booking-com-travel-deals/id367003839?uo=4,0.0,4.68114,2600,Travel,"Download the highest-rated travel app and join thousands of people finding hotel, motel and holiday home travel deals. Find a stay for your holiday, weekend getaway or business trip, anywhere in the world!

Search for hotels, motels & holiday homes

• 27 million hotels, holiday rentals, homes, apartments and other unique places to stay
• Search by city, attraction, landmark or hotel name with just one tap
• Filter by price, review score, amenities and other things important to you
• Find your last-minute stay or book far in advance

Find a great travel deal

• Daily deals for every budget
• Free cancellation on most rooms
• Browse over 135 million verified guest reviews

Manage your booking on the go

• Get paperless confirmation
• Make changes whenever, wherever
• 24/7 customer service in more than 40 languages
• Contact your host, view check-in times and write reviews
• No booking or credit card fees",2011-07-09T20:18:43Z,2025-11-20T09:19:47Z
ao,Angola,Travel,6003,8,368677368,Uber - Request a ride,"Uber Technologies, Inc.",https://apps.apple.com/ao/app/uber-request-a-ride/id368677368?uo=4,0.0,4.75078,7419,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable, whether you're requesting a taxi for a trip or arranging a train journey.

Pick from a wide range of travel options that the Uber app has to offer including:
UberX: Affordable, everyday rides
Lux: Luxury cars with top-rated drivers for premium travel experiences
Electric: Sustainable rides in electric vehicles for eco-friendly trips
UberXL: Rides for groups up to 6, perfect for family trips
Comfort: Newer cars with extra legroom to enhance your travel
Uber Pet: Ride with your pet
Reserve: Choose your exact pickup time up to 90 days in advance for planned trips
Exec: High-end cars with top-rated drivers, ideal for business travel
2-wheels: You can also bike or ride a scooter with the Uber app. Find a scooter to start riding today for quick trips
Assist: Special assistance from trained drivers for accessible travel
Access: Wheelchair accessible vehicles ensuring inclusivity in travel
Black Cab: travel with the iconic London taxi

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival, whether it's a taxi ride or train. 

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable in their travel and on trips.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride.

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from £0 Delivery Fee and up to 5% off eligible delivery and pickup orders, 5-10% off eligible rides, and £5 credit if our Latest Arrival Estimate on your order is off. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. Extra wait time included to meet your ride. Cancel at no charge up to 60 minutes in advance.

TRAVEL
Get train, coach, and flight ticketing right on the Uber app. Get 10% back in Uber Credits and collect Avios when you book train, coach, and Eurostar trips. No booking fee. Make any flight flexible and refundable and avoid flight travel stress with flight disruption protection.

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

RENT CARS
Whether you need a car today or later, the online booking experience will help you find the right vehicle for a family vacation, a weekend getaway, airport travel, and more. Get great prices & selection from the best rental companies.

MORE FEATURES
Delivery: Order food from your favourite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience, and pet supplies, and get them all delivered.
Uber Boat: Get fast, reliable river boat services in London. For commuters and visitors. Routes run from 24 piers across the capital.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.

Uber is available in the following cities: London, Manchester, Leeds, Glasgow, and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed.",2011-07-09T20:29:38Z,2025-11-17T14:30:34Z
ao,Angola,Travel,6003,9,6751967392,TerraCam: GPS Satellite,Oanh Hoang,https://apps.apple.com/ao/app/terracam-gps-satellite/id6751967392?uo=4,0.0,0,0,Travel,"GPS Camera combines location tagging with powerful map and travel tools. Capture photos with GPS details, explore interactive maps, check traffic updates, and access essential navigation features in one application.

Main Features:
- GPS Camera: Capture photos with location, date, and time details.
- Live Cameras: View selected public cameras from different locations.
- 360 View: Explore panoramic images for a wider perspective.
- Earth 3D Map: Navigate the globe with interactive 3D views.
- Traffic Map: Stay updated with traffic conditions in real time.
- Famous Places: Discover landmarks and attractions worldwide.
- Compass: Find accurate directions easily.
- Air Quality: Check local air conditions instantly.
- World Clock: Track multiple time zones in one place.

Why GPS Camera:
- Simple all in one design.
- Practical features for daily use and travel.
- Reliable navigation and exploration tools.

Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/

Privacy Policy: https://sites.google.com/view/terra-cam-gps/privacy-policy
Download Vitaria now and build better habits for a healthier tomorrow.Download GPS Camera today and start capturing, exploring, and navigating with confidence.",2025-09-16T07:00:00Z,2025-11-06T10:58:21Z
ao,Angola,Travel,6003,10,401626263,Airbnb,"Airbnb, Inc.",https://apps.apple.com/ao/app/airbnb/id401626263?uo=4,0.0,4.51538,130,Travel,"AIRBNB MORE THAN AN AIRBNB
The world is endlessly interesting and with Airbnb, you can explore it in more ways than ever. Find remarkable homes, unforgettable experiences and incredible services all in one app. Get inspired, book and go.

BOOK A HOME AND GO WHERE HOTELS CAN’T
Explore 8+ million holiday rentals in 240+ countries and regions to find the perfect stay for every kind of trip, whether you’re travelling alone or with a group. Use over 80 filtering options to find the amenities you want, like a pool, a kitchen or accessibility features like step-free entry. View all the details of a place at a glance on the listing page and check out the ratings and reviews to see what other guests who’ve stayed there think about it too.

DON’T JUST SEE A PLACE, EXPERIENCE IT
Find thousands of experiences around the world, hosted by locals who know their city best – all vetted for quality based on a host’s expertise, reputation and authenticity. Uncover unique perspectives on landmarks and museums. Get a taste of local cuisine through cooking classes and food tours. Enjoy the great outdoors, an art workshop, a live performance and much more. Plus, check out Airbnb Originals – extraordinary experiences hosted by the world’s most interesting people, designed exclusively for Airbnb.

MAKE YOUR STAY EVEN MORE SPECIAL WITH INCREDIBLE SERVICES
Make the most of your stay by booking incredible services right at your Airbnb, like private chefs, photography, catering, prepared meals, hairstyling, nail treatments, make-up, massages, personal training and spa treatments – each offered by experienced service hosts who have been vetted for quality. You can book thousands of professional services at nearly every price, all in one app, all over the world. Best of all, you don’t need to stay at an Airbnb or even be on a trip to get these services. Schedule a blow-dry, training session and more right at home.

GET A TRAVEL APP THAT TRAVELS WITH YOU
After you book a home, you’ll get personalised recommendations on the home page suggesting services and experiences for your trip, tailored to where you’re staying and who you’re travelling with. And the redesigned Profile gives you a snapshot of all the places you’ve been to on Airbnb and the people you’ve met along the way.

FIND ALL YOUR TRIP INFO IN ONE PLACE
Quickly find or share the details of your reservation – making it easier for everyone to get there, get inside and get connected to wifi with just a tap. Our in-app messaging means every guest on the trip can easily communicate with hosts to say hi, ask questions and receive up-to-the-minute booking updates. You can also share photos, videos and even customise an Airbnb Service, all in the same chat. And with a day-by-day view of everything you’ve booked in the updated Trips tab, it’s simple to keep track of your plans and get key details like check-in times, special instructions and entry codes all in one place, even when you’re offline.

WANT TO HOST? AIRBNB MAKES IT EASY.
Whether you want to host a home, experience or service, you can reach millions of people travelling and grow your business on Airbnb. List your home in a few simple steps. Or, you can apply to host an experience or service and once approved, you’re ready to welcome the world.

YOU’VE COME THIS FAR – NOW GO FURTHER
Stop reading and fire up the app to book yourself a one-of-a-kind trip on Airbnb.",2011-07-09T04:09:06Z,2025-11-19T19:27:17Z
