country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ro,Romania,Travel,6003,1,675033630,Bolt: Request a Ride,BOLT TECHNOLOGY OU,https://apps.apple.com/ro/app/bolt-request-a-ride/id675033630?uo=4,0.0,4.84938,127075,Travel,"Make getting around easier with Bolt! Whether you need a ride across town, an airport transfer, or a scooter to zip through traffic, our app makes it easy to move around confidently and conveniently.

WHY CHOOSE BOLT?
- Request a ride in seconds: enjoy safe, affordable rides with top-rated drivers.
- Transparent pricing: see your fare upfront so there are no surprises.
- Multiple payment options: pay securely using a credit/debit card, Apple Pay, Google Pay, or cash.

EASY ORDERING:
- Open the app and set your destination.
- Choose from various ride types to suit your needs (Comfort, Premium, Electric, XL, and more).
- Track your driver in real time.
- Arrive in comfort and rate your experience.

SAFETY FIRST:
Some of Bolt’s safety features require the app to run in the background.

- Emergency assist button: discreetly alert our Safety Team in case of emergencies.
- Audio trip recording: record audio during rides for added peace of mind.
- Private phone details: your contact information stays confidential when you call a driver.

PLAN AHEAD:
Need an airport transfer or an early morning ride? You can schedule your trip in advance from 30 minutes to 90 days before your expected pickup time.

*JOIN BOLT PLUS TO UNLOCK PREMIUM FEATURES!
Get the best of Bolt with Bolt Plus. Enjoy exclusive perks that save you time and money, making every ride smoother and more convenient.

*BOLT DRIVE:
We're committed to our carbon net zero goal by 2040. That's why we're increasing the lineup of electric and hybrid cars in Bolt Drive, our car-sharing service. You can also rent Bolt scooters and e-bikes via the app.

*DELIVER PACKAGES
Use the 'Send' ride type to arrange fast and convenient parcel delivery in your city.

Bolt is available in 50 countries and 600+ cities worldwide (see the full list at https://bolt.eu/en/cities/). We rebranded from Taxify to Bolt in 2019.

Bolt is the perfect taxi alternative for fast, reliable, and affordable rides. The app provides a seamless ride-ordering experience whether you’re commuting, travelling, or running errands. So, the next time you need a ride, choose Bolt!

*Bolt options differ by location. Check the app for availability in your city.

Earn money driving with the Bolt Driver app. Sign up: https://bolt.eu/driver/

Questions? Get in touch via info@bolt.eu or at https://bolt.eu

Follow us on social media for updates, discounts, and offers!

Facebook — https://www.facebook.com/Bolt/
Instagram — https://www.instagram.com/bolt
X — https://x.com/Boltapp",2013-07-24T04:44:15Z,2025-11-24T06:38:06Z
ro,Romania,Travel,6003,2,368677368,Uber - Request a ride,"Uber Technologies, Inc.",https://apps.apple.com/ro/app/uber-request-a-ride/id368677368?uo=4,0.0,4.89103,184802,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable, whether you're requesting a taxi for a trip or arranging a train journey.

Pick from a wide range of travel options that the Uber app has to offer including:
UberX: Affordable, everyday rides
Lux: Luxury cars with top-rated drivers for premium travel experiences
Electric: Sustainable rides in electric vehicles for eco-friendly trips
UberXL: Rides for groups up to 6, perfect for family trips
Comfort: Newer cars with extra legroom to enhance your travel
Uber Pet: Ride with your pet
Reserve: Choose your exact pickup time up to 90 days in advance for planned trips
Exec: High-end cars with top-rated drivers, ideal for business travel
2-wheels: You can also bike or ride a scooter with the Uber app. Find a scooter to start riding today for quick trips
Assist: Special assistance from trained drivers for accessible travel
Access: Wheelchair accessible vehicles ensuring inclusivity in travel
Black Cab: travel with the iconic London taxi

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival, whether it's a taxi ride or train. 

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable in their travel and on trips.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride.

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from £0 Delivery Fee and up to 5% off eligible delivery and pickup orders, 5-10% off eligible rides, and £5 credit if our Latest Arrival Estimate on your order is off. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. Extra wait time included to meet your ride. Cancel at no charge up to 60 minutes in advance.

TRAVEL
Get train, coach, and flight ticketing right on the Uber app. Get 10% back in Uber Credits and collect Avios when you book train, coach, and Eurostar trips. No booking fee. Make any flight flexible and refundable and avoid flight travel stress with flight disruption protection.

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

RENT CARS
Whether you need a car today or later, the online booking experience will help you find the right vehicle for a family vacation, a weekend getaway, airport travel, and more. Get great prices & selection from the best rental companies.

MORE FEATURES
Delivery: Order food from your favourite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience, and pet supplies, and get them all delivered.
Uber Boat: Get fast, reliable river boat services in London. For commuters and visitors. Routes run from 24 piers across the capital.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.

Uber is available in the following cities: London, Manchester, Leeds, Glasgow, and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed.",2010-05-21T03:11:23Z,2025-11-17T14:30:34Z
ro,Romania,Travel,6003,3,367003839,Booking.com Travel Deals,Booking.com B.V.,https://apps.apple.com/ro/app/booking-com-travel-deals/id367003839?uo=4,0.0,4.91202,132824,Travel,"Download the highest-rated travel app and join thousands of people finding hotel, motel and holiday home travel deals. Find a stay for your holiday, weekend getaway or business trip, anywhere in the world!

Search for hotels, motels & holiday homes

• 27 million hotels, holiday rentals, homes, apartments and other unique places to stay
• Search by city, attraction, landmark or hotel name with just one tap
• Filter by price, review score, amenities and other things important to you
• Find your last-minute stay or book far in advance

Find a great travel deal

• Daily deals for every budget
• Free cancellation on most rooms
• Browse over 135 million verified guest reviews

Manage your booking on the go

• Get paperless confirmation
• Make changes whenever, wherever
• 24/7 customer service in more than 40 languages
• Contact your host, view check-in times and write reviews
• No booking or credit card fees",2010-04-14T18:30:24Z,2025-11-20T09:19:47Z
ro,Romania,Travel,6003,4,583348801,Wizz Air - Book Flights,Wizz Air Hungary Zrt.,https://apps.apple.com/ro/app/wizz-air-book-flights/id583348801?uo=4,0.0,4.84788,82760,Travel,"SIMPLY SEARCH AND BOOK 
What could be better than low-cost flight deals? Select from 200+ destinations, choose your ideal travel date and get set for cheap flights the easy way with the WIZZ Air flight deal and travel app.

ORGANISE YOUR ENTIRE HOLIDAY  
- Get flight deals via push notifications 
- Scan your documents for a faster booking and check-in process 
- Check in with your confirmation details and say goodbye to printing*  
- Check out your flight schedule and track your plane in real-time 
- Share flight searches with friends and family or send travel companions their boarding pass  
- Save your ticket to your Apple Wallet plus all your important travel documents to the app 
- Use the in-app boarding card – either online or offline! 
Fly to the most popular destinations across Europe, from Bucharest, Budapest, Krakow, Tirana and Vienna, to Lisbon, Rome, Naples, Milan, Malaga, Madrid and Athens.  Check out our low cost flights to the Middle East and places like Abu Dhabi, Alexandria, Amman, Muscat and Tel Aviv. 

FARE FINDER: 
Search for the lowest available fare for your journey and book your ticket at the best price.

HOTELS 
Reserve your hotel with Booking.com and get 5% of your booking value back as a WIZZ credit. 

WIZZ DISCOUNT CLUB 
Sign up to a WIZZ Discount Club membership and get discounted flight fares. 

AIRPORT TRANSFER:
Book a ride to and from the airport with our airport transfer service.

USE THE APP TO BUY AIRPORT EXTRAS LIKE… 
- Fast Track boarding and Lounge access  
- Car rental with Rentalcars.com where you can receive a 5% of your booking back as WIZZ credit value 
- Bus transfers at cheap prices from the airport to the centre of your destination city  

WIZZ MAGAZINE 
Stay entertained on board by downloading the WIZZ in-flight magazine before you board.

ADD SERVICES 
Want to add more luggage or change your reserved seat? No worries, you can add many travel-related services through the app. 

Follow WIZZ on social media for all of the latest news, offers and competitions  

Facebook @wizzair 
Instagram @wizzair 
Twitter @wizzair 

Available in almost 20 languages 
Arabic, Bosnian, Bulgarian, Dutch, English, French, German, Hungarian, Italian, Lithuanian, Macedonian, Norwegian, Polish, Romanian, Russian, Serbian, Spanish, Swedish, Ukrainian 

*Only at airports with permitted access.",2012-12-10T21:01:52Z,2025-11-05T09:26:16Z
ro,Romania,Travel,6003,5,6751967392,TerraCam: GPS Satellite,Oanh Hoang,https://apps.apple.com/ro/app/terracam-gps-satellite/id6751967392?uo=4,0.0,0,0,Travel,"GPS Camera combines location tagging with powerful map and travel tools. Capture photos with GPS details, explore interactive maps, check traffic updates, and access essential navigation features in one application.

Main Features:
- GPS Camera: Capture photos with location, date, and time details.
- Live Cameras: View selected public cameras from different locations.
- 360 View: Explore panoramic images for a wider perspective.
- Earth 3D Map: Navigate the globe with interactive 3D views.
- Traffic Map: Stay updated with traffic conditions in real time.
- Famous Places: Discover landmarks and attractions worldwide.
- Compass: Find accurate directions easily.
- Air Quality: Check local air conditions instantly.
- World Clock: Track multiple time zones in one place.

Why GPS Camera:
- Simple all in one design.
- Practical features for daily use and travel.
- Reliable navigation and exploration tools.

Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/

Privacy Policy: https://sites.google.com/view/terra-cam-gps/privacy-policy
Download Vitaria now and build better habits for a healthier tomorrow.Download GPS Camera today and start capturing, exploring, and navigating with confidence.",2025-09-16T07:00:00Z,2025-11-06T10:58:21Z
ro,Romania,Travel,6003,6,401626263,Airbnb,"Airbnb, Inc.",https://apps.apple.com/ro/app/airbnb/id401626263?uo=4,0.0,4.80544,6651,Travel,"AIRBNB MORE THAN AN AIRBNB
The world is endlessly interesting and with Airbnb, you can explore it in more ways than ever. Find remarkable homes, unforgettable experiences and incredible services all in one app. Get inspired, book and go.

BOOK A HOME AND GO WHERE HOTELS CAN’T
Explore 8+ million holiday rentals in 240+ countries and regions to find the perfect stay for every kind of trip, whether you’re travelling alone or with a group. Use over 80 filtering options to find the amenities you want, like a pool, a kitchen or accessibility features like step-free entry. View all the details of a place at a glance on the listing page and check out the ratings and reviews to see what other guests who’ve stayed there think about it too.

DON’T JUST SEE A PLACE, EXPERIENCE IT
Find thousands of experiences around the world, hosted by locals who know their city best – all vetted for quality based on a host’s expertise, reputation and authenticity. Uncover unique perspectives on landmarks and museums. Get a taste of local cuisine through cooking classes and food tours. Enjoy the great outdoors, an art workshop, a live performance and much more. Plus, check out Airbnb Originals – extraordinary experiences hosted by the world’s most interesting people, designed exclusively for Airbnb.

MAKE YOUR STAY EVEN MORE SPECIAL WITH INCREDIBLE SERVICES
Make the most of your stay by booking incredible services right at your Airbnb, like private chefs, photography, catering, prepared meals, hairstyling, nail treatments, make-up, massages, personal training and spa treatments – each offered by experienced service hosts who have been vetted for quality. You can book thousands of professional services at nearly every price, all in one app, all over the world. Best of all, you don’t need to stay at an Airbnb or even be on a trip to get these services. Schedule a blow-dry, training session and more right at home.

GET A TRAVEL APP THAT TRAVELS WITH YOU
After you book a home, you’ll get personalised recommendations on the home page suggesting services and experiences for your trip, tailored to where you’re staying and who you’re travelling with. And the redesigned Profile gives you a snapshot of all the places you’ve been to on Airbnb and the people you’ve met along the way.

FIND ALL YOUR TRIP INFO IN ONE PLACE
Quickly find or share the details of your reservation – making it easier for everyone to get there, get inside and get connected to wifi with just a tap. Our in-app messaging means every guest on the trip can easily communicate with hosts to say hi, ask questions and receive up-to-the-minute booking updates. You can also share photos, videos and even customise an Airbnb Service, all in the same chat. And with a day-by-day view of everything you’ve booked in the updated Trips tab, it’s simple to keep track of your plans and get key details like check-in times, special instructions and entry codes all in one place, even when you’re offline.

WANT TO HOST? AIRBNB MAKES IT EASY.
Whether you want to host a home, experience or service, you can reach millions of people travelling and grow your business on Airbnb. List your home in a few simple steps. Or, you can apply to host an experience or service and once approved, you’re ready to welcome the world.

YOU’VE COME THIS FAR – NOW GO FURTHER
Stop reading and fire up the app to book yourself a one-of-a-kind trip on Airbnb.",2010-11-10T20:28:11Z,2025-11-19T19:27:17Z
ro,Romania,Travel,6003,7,6502757858,Petrom,OMV Aktiengesellschaft,https://apps.apple.com/ro/app/petrom/id6502757858?uo=4,0.0,3.53982,113,Travel,"Aplicația Petrom este locul în care găsești oferte și reduceri, atât la alimentări, cât și la cumpărături. Activează-le și poți să le primești instant, în stație. Simplu și comod. 

Imediat ce te înregistrezi, te așteaptă un univers cu promoții și beneficii, special gândit pentru cei mai fideli clienți Petrom. Pentru cei care vin des în stații, obișnuiți să alimenteze la Petrom, să cumpere din MyAuchan, să ia ceva în drum spre casă, pentru toți cei care cunosc și iubesc Petrom. Poate chiar pentru tine.

Despre ce oferte și reduceri este vorba: 
· Oferte la carburanți de calitate 
· Promoții la produsele din magazinele MyAuchan 
· Reduceri la spălătoriile auto din stațiile Petrom
· Bonusuri pentru vizite frecvente 
· Și multe alte beneficii actualizate constant

Procesul e simplu și depinde doar de tine: intri în aplicație, vezi ce ofertă a mai apărut, ce reducere e disponibilă, alegi ce activezi și așa știi ce primești apoi pe loc, în stație.  

Ai toate motivele să descarci aplicația și să nu ratezi nimic din ce nu vrei să ratezi. În plus ai localizator rapid de stații Petrom și acces ușor la plata taxelor pentru drum (pentru România sau Bulgaria).

Descoperă toate beneficiile Petrom, acum și în telefonul tău.",2024-09-30T07:00:00Z,2025-07-07T07:13:39Z
ro,Romania,Travel,6003,8,504270602,Ryanair,Ryanair Ltd.,https://apps.apple.com/ro/app/ryanair/id504270602?uo=4,0.0,4.80063,26002,Travel,"With this App at your fingertips, Europe is at your feet.

We’re Ryanair, so of course you’ll find the lowest fares in Europe on our app. But you’ll also get handy extras like being able to check in while you’re on the move, a mobile boarding pass delivered straight to your phone and a choice of in-flight extras in one quick click.

So why are you still reading? Download it now and get flying!",2012-03-13T17:47:14Z,2025-11-19T18:30:06Z
ro,Romania,Travel,6003,9,6467880487,MOL Move,MOL ROMANIA PETROLEUM PRODUCTS SRL,https://apps.apple.com/ro/app/mol-move/id6467880487?uo=4,0.0,4.87455,18692,Travel,"Download the app and you will be able to:
•	Use the virtual loyalty card - Access the MOL Move digital card in the most convenient way: select the ""Your Card"" option in the app.
•	Collect points and track your progress - As you accumulate more points, you can advance through each level and experience a different range of exciting benefits. You will start your journey at the Green level, and then it's up to you how quickly you reach the next levels: Silver, Gold, or VIP. You can check your point balance and current progress anytime on the main screen of your account in the app.
•	Redeem rewards on your phone - Always have your favorite MOL Move discounts, coupons, and challenges at your fingertips.
•	Win prizes, discounts, and more! - Participate in the most exciting prize-winning games.
•	Locate MOL stations - Easily find service stations where you can enjoy a cup of Fresh Corner coffee or a fresh hot-dog. Additionally, you can plan the route directly to these places.

To access some features, you will need to register or provide your consent. You must be over 18 years old to register in the app. You can read the General Terms & Conditions at www.molmove.ro.",2024-03-12T07:00:00Z,2025-09-30T22:18:36Z
ro,Romania,Travel,6003,10,293622097,Google Earth,Google LLC,https://apps.apple.com/ro/app/google-earth/id293622097?uo=4,0.0,4.2766,376,Travel,"Create and collaborate on immersive, data-driven maps from anywhere, with the new Google Earth.
See the world from above with high-resolution satellite imagery, explore 3D terrain and buildings in hundreds of cities, and dive in to streets and neighbourhoods with Street View's 360° perspectives.",2013-06-26T19:23:01Z,2025-11-19T18:06:31Z
