country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cy,Cyprus,Social Networking,6005,1,6446901002,Threads,"Instagram, Inc.",https://apps.apple.com/cy/app/threads/id6446901002?uo=4,0.0,4.614,3285,Social Networking,"Say more with Threads — Instagram’s text-based conversation app.

Threads is where communities come together to discuss everything from the topics you care about today to what’ll be trending tomorrow. Whatever it is you’re interested in, you can follow and connect directly with your favorite creators and others who love the same things — or build a loyal following of your own to share your ideas, opinions and creativity with the world!

A few things you can do on Threads…

■ Access your Instagram followers
Your Instagram username and verification badge are reserved for you. Automatically follow the same accounts you follow on Instagram in a few taps, and discover new accounts too.

■ Share your point of view
Spin up a new thread to express what's on your mind. This is your space to be yourself, and you control who can reply.

■ Connect with friends and your favorite creators
Jump to the replies to get in on the action and react to commentary, humor and insight from the creators you know and love. Find your community and connect with people who care about whatever it is you’re interested in.

■ Control the conversation
Customize your settings and use controls to manage who can see your content, reply to your threads, or mention you. Accounts you’ve blocked will carry over from Instagram, and we’re enforcing the same Community Guidelines to help ensure everyone interacts safely and authentically. 

■ Find ideas and inspiration
From TV recommendations to career advice, get answers to your questions or learn something new from crowd-sourced conversations, thought leaders and industry experts.

■ Never miss a moment
Stay on top of the latest trends and live events. Whether it’s about new music, movie premieres, sports, games, TV shows, fashion, or the latest product releases, find discussions and receive notifications any time your favorite profiles start a new thread.

■ Leap into the fediverse
Threads is part of the fediverse, a global, open, social network of independent servers operated by third parties around the world. Servers share information with each other to enable people to connect and discover new things across the fediverse.


Meta Terms: https://www.facebook.com/terms.php
Meta Privacy Policy: https://privacycenter.instagram.com/policy
Threads Supplemental Privacy Policy: https://help.instagram.com/515230437301944
Threads Supplemental Terms: https://help.instagram.com/769983657850450
Instagram Community Guidelines: https://help.instagram.com/477434105621119
Consumer Health Privacy Policy: https://privacycenter.instagram.com/policies/health

Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",2023-12-14T08:00:00Z,2025-11-19T23:58:42Z
cy,Cyprus,Social Networking,6005,2,686449807,Telegram Messenger,Telegram FZ-LLC,https://apps.apple.com/cy/app/telegram-messenger/id686449807?uo=4,0.0,3.78346,1270,Social Networking,"Pure instant messaging — simple, fast, secure, and synced across all your devices. One of the top 5 most downloaded apps in the world with over 1 billion active users.

FAST: Telegram is the fastest messaging app on the market, connecting people via a unique, distributed network of data centers around the globe.

SYNCED: You can access your messages from all your phones, tablets and computers at once. Telegram apps are standalone, so you don’t need to keep your phone connected. Start typing on one device and finish the message from another. Never lose your data again.

UNLIMITED: You can send media and files, without any limits on their type and size. Your entire chat history will require no disk space on your device, and will be securely stored in the Telegram cloud for as long as you need it. 

SECURE: We made it our mission to provide the best security combined with ease of use. Everything on Telegram, including chats, groups, media, etc. is encrypted using a combination of 256-bit symmetric AES encryption, 2048-bit RSA encryption, and Diffie–Hellman secure key exchange. 

100% FREE & OPEN: Telegram has a fully documented and free API for developers, open source apps and verifiable builds to prove the app you download is built from the exact same source code that is published. 

POWERFUL: You can create group chats with up to 200,000 members, share large videos, documents of any type (.DOCX, .MP3, .ZIP, etc.) up to 2 GB each, and even set up bots for specific tasks. Telegram is the perfect tool for hosting online communities and coordinating teamwork.

RELIABLE: Built to deliver your messages using as little data as possible, Telegram is the most reliable messaging system ever made. It works even on the weakest mobile connections. 

FUN: Telegram has powerful photo and video editing tools, animated stickers and emoji, fully customizable themes to change the appearance of your app, and an open sticker/GIF platform to cater to all your expressive needs.

SIMPLE: While providing an unprecedented array of features, we take great care to keep the interface clean. Telegram is so simple you already know how to use it.

PRIVATE: We take your privacy seriously and will never give any third parties access to your data. You can delete any message you ever sent or received for both sides, at any time and without a trace. Telegram will never use your data to show you ads.

For those interested in maximum privacy, Telegram offers Secret Chats. Secret Chat messages can be programmed to self-destruct automatically from both participating devices. This way you can send all types of disappearing content — messages, photos, videos, and even files. Secret Chats use End-to-End Encryption to ensure that a message can only be read by its intended recipient.

We keep expanding the boundaries of what you can do with a messaging app. Don’t wait years for older messengers to catch up with Telegram — join the revolution today.

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2013-08-14T00:12:31Z,2025-11-19T15:52:30Z
cy,Cyprus,Social Networking,6005,3,310633997,WhatsApp Messenger,WhatsApp Inc.,https://apps.apple.com/cy/app/whatsapp-messenger/id310633997?uo=4,0.0,4.57449,48079,Social Networking,"WhatsApp from Meta is a free messaging and calling app used by over 2 billion people across 180+ countries. It's super simple, reliable and private, making it perfect for staying in touch with your friends and family worldwide. WhatsApp works across mobile, tablet, and desktop even on slow connections, with no subscription fees*.

Private messaging and calls across the world

Your privacy is our priority. With end-to-end encryption, you can be sure that your personal messages and calls stay between you and who you send them to. And no one, not even WhatsApp, can read or listen to them.

Simple and secure connections, right away

All you need is your phone number - no usernames or logins needed. Easily view your contacts on WhatsApp and start messaging. And what's more, you can easily  link your other devices, including iPads, for seamless connectivity.

High quality voice and video calls

Enjoy free, secure video and voice calls with up to 32 people for free. Your calls work across devices, even on slower connections, using your phone or tablet’s Internet service.

Group chats to keep you in contact

Stay close to friends and family through end-to-end encrypted group chats and calls. Share messages, photos, videos and documents across mobile, tablet, and desktop. You can also use call links and screen-sharing to make group calls and collaboration easy.

Stay connected in real time

You can share your location with those in your individual or group chats while using WhatsApp on your mobile phone. Or record a voice message for those moments when just text isn't good enough.

Share daily moments through Status

Share your everyday life with those who matter. With Status you can share text, photos, video, and GIF updates that disappear after 24 hours. You're always in control of who sees your status. Just choose who you want to share it with - all your contacts or selected ones. And bring your everyday to life.

*Data charges may apply. Contact your provider for details.


---------------------------------------------------------------------------

If you have any feedback or questions, please go to WhatsApp > Settings > Help > Contact Us

Terms of Service: https://www.whatsapp.com/legal/terms-of-service 

Learn more about messaging privately: https://www.whatsapp.com/privacy 

Learn more about WhatsApp safety: https://www.whatsapp.com/security",2011-10-14T19:28:42Z,2025-11-21T02:37:57Z
cy,Cyprus,Social Networking,6005,4,382617920,Rakuten Viber Messenger,Viber Media SARL.,https://apps.apple.com/cy/app/rakuten-viber-messenger/id382617920?uo=4,0.0,4.69627,29210,Social Networking,"Rakuten Viber is a secure, fun, and exciting messaging and calling app, connecting over a billion people worldwide!

You can do it all with Rakuten Viber: group chats, disappearing messages, reminders, and more:

Send messages for free
Staying in touch has never been easier. Send a free text, photo, sticker, GIF, voice or video message, along with many other types of files.

Make free audio and video calls
Enjoy unlimited Viber-to-Viber calls to anyone in the world for free. You can even call up to 60 people at the same time! Great for connecting with friends, family, and colleagues :)

Experience end-to-end encryption
On by default for all 1-on-1 calls, chats, and group chats, end-to-end encryption allows to you to communicate with confidence knowing that all messages will remain private. No one, not even Rakuten Viber, can read your messages.

Make low-cost calls to landlines with Viber Out
Call any landline or mobile phone with Viber Out’s low-cost international calling service. Get a Viber Out subscription to call a specific destination or keep your options open and buy minutes to call anywhere in the world. 

Open a group chat
Catch up with friends, family, and colleagues by opening a group chat for up to 250 members. Use polls and quizzes, @mentions and reactions to get the most out of your group!

Express yourself with lenses, GIFs, and stickers
Personalize your chats! Get creative with fun, funny, and beautifying Viber lenses. GIFs and over 55,000 stickers also await you - you can even create your own.

Use disappearing messages
Send disappearing messages in your 1-on-1 and group chats by setting a timer for each message. You can choose how long the message will be available after it’s opened - 10 seconds, 1 minute, or up to 1 day!

Connect in Communities and Channels
Whether it's sports, news, cooking, travel or entertainment, get the content you really want and connect with others with similar interests. You can even start your own Community or Channel and gain a global following. 

Chat with AI bots
Rakuten Viber's AI bots will answer all your questions and turn your words into beautiful art. You can also find verified bots to get the latest news on fashion, book your travel, and even pay your electricity bills!

React to messages
React to messages with emojis to express exactly how you feel in chats!

Create notes and reminders
Forward interesting messages, keep meaningful links, and add your thoughts to your notes. You can also set reminders to ensure you never forget important tasks and events. 

Rakuten Viber is part of the Rakuten Group, a world leader in e-commerce and financial services. 

Terms & Policies: https://www.viber.com/terms/",2011-07-09T23:50:39Z,2025-11-18T13:25:25Z
cy,Cyprus,Social Networking,6005,5,284882215,Facebook,"Meta Platforms, Inc.",https://apps.apple.com/cy/app/facebook/id284882215?uo=4,0.0,4.50938,58783,Social Networking,"Where real people propel your curiosity. Whether you're shopping for second-hand gear, showing a reel to that group who gets it or sharing laughs over fun images reimagined by AI, Facebook helps you make things happen like no other social network.

Explore and expand your interests: 
* Ask Meta AI to search topics that matter to you and get instant results more interactive than just text
* Shop Marketplace for deals and hidden gems to nurture your hobbies
* Personalise your Feed to see more of what you like and less of what you don't
* Dive into reels and videos for how-to's or quick entertainment

Connect with people and communities:
* Join groups to learn tips from real people who've been there and done that
* Turn on sharing to Instagram to save time
* Privately message relatable posts that only your BFF will get, or that Reels trend everyone's talking about

Share your world:
* Use generative AI to delight friends with custom images, or just get help with writing posts
* Customise your profile to choose how you appear and who sees your posts
* Effortlessly create reels from trending templates or showcase your creativity with a full suite of editing tools
* Capture moments on the fly with stories

Terms and Policies: https://www.facebook.com/policies_center",2019-02-05T08:00:00Z,2025-11-12T04:08:24Z
cy,Cyprus,Social Networking,6005,6,336435697,imo-International Calls & Chat,imo.im,https://apps.apple.com/cy/app/imo-international-calls-chat/id336435697?uo=4,0.0,4.43152,387,Social Networking,"imo is a FREE, simple, and secure international video call & instant messaging app.  It's used by over 200M people in more than 170 countries and regions, supporting 62 languages. imo brings innovative solutions for seamless communication capabilities and allowing people to share key moments with each other.

■ Free & HD Video Calls
Over 300 million times of video calls are made through imo every day. Make international calls to your friends & family for FREE. You can also create group chat with friends, free talk to them in one group. Experience crystal clear & HD quality instant video calls to friends and family all around the world. Avoid SMS and phone call charges, no fees or subscription for every message or call, free in anyway.

■ International & Reliable Call
Consistent & stable international audio or video calls over 2G, 3G, 4G, 5G, or Wi-Fi connection*. Send text or voice messages or video calls all over the world with your friends and family and other contacts easily and quickly, even the signal under a bad network.

■ imo Messenger
Connect with your loved ones through calls and messages. You can share photos and videos, send and receive voice messages or documents of any type (.DOC, .MP3, .ZIP, .PDF, etc.) All of your message history and files can be securely synced in imo Cloud to free up your phone storage.

■ Chat Privacy
imo ensures maximum privacy protection for your messages. We use Time Machine, Disappearing Message, SecretChat, Block Screenshot and End-to-End Encryption to enhance your chat privacy. You can erase any chat messages, set message timers, and block screenshot, copy, share, and download for privacy chats.

■ Instant Message Translation
Translate effortlessly for seamless cross-language conversations. imo provides you with convenient instant message translation for text messages.

■ Hajj & Umrah Assistant
Providing step by step assistance to performing an Umrah, we make Hajj & Umrah easier and securer for Muslims worldwide. Umrah assistant helps pilgrims with information regarding the Umrah processes through Umrah tips, Umrah location sharing, one-tap navigation, and communication opportunities for pilgrims.

■ Global Web Call
Share a single link for free cross-platform calls. Based on WebRTC technology, we allow users to make clear and uninterrupted voice calls and messaging over the Internet with their loved ones, regardless of them being an imo user or not.

■ VoiceClub
You can make friends and share happiness with voice chat. Voiceclub allows everyone to create their own room or join others' rooms to enjoy or listen to chat. Channels also host events like talent show, talk show, competition, game or ceremony.

* Data charges may apply. Contact your provider for details.

Official website: https://imo.im/
Privacy Policy: https://imo.im/policies/privacy_policy.html
Terms of Service: https://imo.im/policies/terms_of_service.html
Feedback Center: https://activity.imoim.net/feedback/index.html",2011-07-09T14:33:49Z,2025-11-18T12:50:38Z
cy,Cyprus,Social Networking,6005,7,454638411,Messenger,"Meta Platforms, Inc.",https://apps.apple.com/cy/app/messenger/id454638411?uo=4,0.0,4.56344,26363,Social Networking,"Be together whenever, with our free* all-in-one communication app, complete with unlimited text, voice, video calling and group video chat features.

 PRIVACY SETTINGS
 New privacy settings let you choose who can reach you, and where your messages are delivered.

 CUSTOM REACTIONS
 Lost for words? You can customise your reactions, with lots more emojis to choose from.

 CHAT THEMES
 Choose from fun themes and colours, such as Tie-dye or Love, to make your chats more personal.

 WATCH TOGETHER
 Watch videos, tv programmes and films with your friends over Messenger video chat and Rooms when you can't be together. Capture every moment and reaction in real time.

 FREE* VIDEO CALLS TO STAY CONNECTED
 Keep your friends and family close with unlimited live video chatting. Host group video calls with up to eight people, with high-quality audio, high-definition video and interactive video features such as face filters.

 UNLIMITED FREE* TEXT AND PHONE CALLS
 Skip exchanging phone numbers and simply send a message to your Facebook friends, even if they're across the world. Enjoy high-quality voice and text messaging on mobile, tablet and desktop.

 TURN OFF THE LIGHTS IN DARK MODE
 Give your eyes some rest with a sleek new look that darkens the colours of the chat interface.

 RECORD AND SEND VOICE AND VIDEO MESSAGES
 When text just won't cut it, just hit record and send. Say, sing, show or shout it out loud.

 EXPRESS YOURSELF WITH STICKERS, GIFS AND EMOJIS
 Use custom stickers to show your creative side. You can even add effects and filters to video calls.

 SEND FILES, PHOTOS AND VIDEOS
 There's no limit to the number of files you want to share with your friends.

 PLAN AND MAKE IT HAPPEN
 Make plans to get together with polls and more. Suggest a meeting spot or tell friends where you are by sharing your location with just a few taps.

 SEND AND REQUEST MONEY WITH NO FEES
 Send and receive money securely and quickly – right in the app. Split payments in group chats to share rent, travel and other expenses. Start sending money to friends and family by adding your debit card, PayPal account (fees may apply) or prepaid card. Only available in the US.

 CHAT WITH BUSINESSES
 Easily connect with your favourite businesses to make reservations, get customer support, find deals and more.

 COMPATIBLE ACROSS PLATFORMS
 Chat with friends across an array of devices, such as desktop, Portal and others.

 Privacy Policy: https://www.facebook.com/about/privacy/
 LEARN MORE about Messenger texting and group video chat at: http://messenger.com

 * Data rates apply
 Some Messenger features may not be available in your country or region.

Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",2011-10-19T22:39:30Z,2025-11-19T08:58:25Z
cy,Cyprus,Social Networking,6005,8,1096918571,Google Meet,Google LLC,https://apps.apple.com/cy/app/google-meet/id1096918571?uo=4,0.0,4.74677,387,Social Networking,"Google Meet is a high-quality video calling app designed to help you have meaningful and fun interactions with your friends, family, colleagues, and classmates, wherever they are.

Meet lets you connect in whatever way works for you: Call someone spontaneously, schedule time together, or send a video message that they can watch and respond to later.

Meet also helps you get things done. It integrates with other Google Workspace apps like Gmail, Docs, Slides, and Calendar, and offers a number of features to help you run smooth and engaging meetings, like noise cancellation, in-call chat, recordings, and more.*

Features to look forward to:

Make spontaneous calls or host video meetings with your friends and colleagues, all in one app.


Enjoy one-on-one video calls for up to 24 hours and host meetings for up to 60 minutes and 100 people at no cost.


Follow along in your preferred language with real-time translated captions in over 70 languages.


Use in-call chat to share ideas, ask questions, or provide feedback without interrupting the flow of the conversation.


Make your calls more engaging with in-call emojis that allow you to express yourself seamlessly without interrupting the conversation.


Share visuals like photos, videos, and presentations during your call to collaborate or simply share memories from your recent vacation.


Make your calls with family and friends more fun with stackable effects that allow participants to add multiple backgrounds, filters, and animations, to create a personalised experience.


Use on-the-go mode for an audio-only experience with larger call controls, making it easier to take calls with fewer distractions while walking, driving, or using public transportation.


Access on any device: Meet works across mobile, tablet, web, and smart devices,** so everyone can join.

High quality video: Show up looking your best with up to 4k video quality video***.

Learn more about Google Meet: https://workspace.google.com/products/meet/

Follow us for more:

Twitter: https://twitter.com/googleworkspace

Linkedin: https://www.linkedin.com/showcase/googleworkspace

Facebook: https://www.facebook.com/googleworkspace/

*Meeting recording, noise cancellation are available as premium features. See https://workspace.google.com/pricing.html for more details

**Not available in every language.

***Bandwidth permitting. Google Meet automatically adjusts to the highest video quality possible based on your bandwidth.

Data charges may apply. Check your carrier for details.

Specific feature availability may vary based on device specifications.",2016-09-02T00:51:01Z,2025-11-17T21:39:48Z
cy,Cyprus,Social Networking,6005,9,985746746,"Discord – Talk, Play, Hang Out","Discord, Inc.",https://apps.apple.com/cy/app/discord-talk-play-hang-out/id985746746?uo=4,0.0,4.73904,3192,Social Networking,"Discord is designed for gaming and great for just chilling with friends or building a community. Customise your own space and gather your friends to talk while playing your favourite games or just hang out.

GROUP CHAT THAT’S ALL FUN AND GAMES
∙ Discord is great for playing games and chilling with friends or even building a worldwide community. Customise your own space to talk, play and hang out in.

MAKE YOUR GROUP CHATS MORE FUN
∙ Create custom emojis, stickers, soundboard effects and more to add your personality to voice, video or text chat. Set your avatar, a custom status and write your own profile to show up in chat your way.

STREAM LIKE YOU’RE IN THE SAME ROOM
∙ High-quality and low-latency streaming makes it feel like you’re hanging out on the couch with friends while playing a game, watching shows, looking at photos or idk, doing homework or something.

HOP IN WHEN YOU’RE FREE, NO NEED TO CALL
∙ Easily hop in and out of voice or text chats without having to call or invite anyone, so you can chat with your friends before, during and after your game session.

SEE WHO’S AROUND TO CHILL
∙ See who’s around, playing games or just hanging out. For supported games, you can see what modes or characters your friends are playing and directly join up.

ALWAYS HAVE SOMETHING TO DO TOGETHER
∙ Watch videos, play built-in games, listen to music or just scroll together and spam memes. Seamlessly text, call, video chat and play games, all in one group chat.

WHEREVER YOU GAME, HANG OUT HERE
∙ On your PC, phone or console, you can still hang out on Discord. Easily switch between devices and use tools to manage multiple group chats with friends.",2015-05-21T07:08:40Z,2025-11-20T22:14:00Z
cy,Cyprus,Social Networking,6005,10,384830320,Life360: Find Family & Friends,Life360,https://apps.apple.com/cy/app/life360-find-family-friends/id384830320?uo=4,0.0,4.82003,1228,Social Networking,"Whether at home, online, or on the move, our comprehensive family safety features bring peace of mind to your loved ones AND help safeguard your personal belongings. Experience location safety features that surpass ordinary GPS tracking apps. More than just a GPS location tracker, with Life360, finding friends and family has never been easier.

In addition to focusing on safety, Life360 allows you to effortlessly keep tabs on your pets, keys, wallet, phone, and other essentials using Tile Bluetooth trackers and the NEW Life360 Pet GPS. These trackers integrate with your Life360 map, ensuring you can easily locate everything and everyone that matters most from a single, convenient platform.

Life360 memberships include essential safety features like:

- SOS Alerts: Send silent alerts with your precise location to friends, family members, emergency contacts, and responders.
- 24/7 Emergency Dispatch: We're here for your loved ones, always ready to respond, even when you can't make the call.
- Identity Theft Protection: Safeguard sensitive digital information for each family member, backed by a white-glove restoration service.
- Roadside Assistance: Free towing, jumpstarts, tire changes, lockout assistance, refueling and more.
	
Download the free app now to access Advanced Location Sharing, Location History, Crash Detection, and Place Alerts. Keep tabs on your family members as they come and go from key locations like home, school and work.

Take your safety to the next level by upgrading to one of our premium Life360 memberships. Choose the plan that suits your friend's and family's unique needs and enjoy a 7-day free trial.

Life360 Silver - Simplify your safety with features such as:
- 2 Places with unlimited Alerts
- 2 days of Location History
- Crash Detection
- Family Driving Summary
- Data Breach Alerts
- SOS Help Alerts During Emergencies

Life360 Gold* - Keep your family secure on the go with all the features of Life360 Silver, plus:	
- 30 days of Location History
- Unlimited Place Alerts
- Individual Driver Reports
- Crash Detection with emergency dispatch and live agent support
- 24/7 Roadside Assistance
- $250 in Stolen Phone Protection
- ID Theft Protection and Data Breach Alerts
- $25,000 in Stolen Fund Reimbursement

Life360 Platinum* - Prepare for anything, anywhere, with all the features of Life360 Gold, plus:
- $1 million in Stolen Fund Reimbursement
- 50 miles of Free towing
- $500 in Stolen Phone Protection
- Travel Support with Disaster Assistance
- Medical Support

https://www.life360.com/privacy_policy/
https://www.life360.com/terms_of_use/

Explanation for App Permissions [Optional Permissions]
• Camera: App accesses user’s camera to allow users to take photos or videos on the app.
• Location: App accesses location information to allow users to share location information to other Circle members.
• Microphone: App accesses microphone to allow users to record and share voice memos.
• Music and audio: App accesses music and audio to play music and audio.
• Nearby devices: App accesses nearby devices to find, connect to and determine the relative position of nearby devices by using Bluetooth.
• Notifications: App accesses notification to send notification to users.
• Phone: App accesses user’s phone to allow users to make phone calls on the app
• Photos and videos: App accesses photos and videos to allow users to view photos and videos on the app.
• Physical activity: App accesses physical activities to calculate and detect driving events, such as driving speed, use of breaks, and accident detection. 

You may still use the app even if you withhold optional permissions. However, app features requiring permission may not be available in such cases.",2011-07-10T01:17:17Z,2025-11-04T20:09:28Z
