country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
gt,Guatemala,Kids,36,1,1641486558,Temu: compra como millonario,Whaleco Inc.,https://apps.apple.com/gt/app/temu-compra-como-millonario/id1641486558?uo=4,0.0,4.62052,4182,Shopping,"Compra en Temu y disfruta de ofertas exclusivas. 

No importa qué busques, Temu lo tiene para ti. Desde moda y decoración del hogar hasta artesanías, belleza y cosméticos, ropa, zapatos y mucho más.

Descarga Temu hoy y disfruta de increíbles ofertas todos los días.

GRAN VENTA DE INAUGURACIÓN
Compra regalos para ti y tus seres queridos. ¡Disfruta de hasta un 90% de descuento!

GRAN VARIEDAD 
Descubre miles de nuevos productos y tiendas.

CONVENIENCIA
Pago rápido y seguro.
Envíos y devoluciones gratis dentro de 90 días.
*Aplican restricciones

Visita temu.com o síguenos en:
Instagram: https://www.instagram.com/temu/
TikTok: https://www.tiktok.com/@temu 
Facebook: https://www.facebook.com/shoptemu
Youtube: https://www.youtube.com/@temu",2022-08-31T07:00:00Z,2025-11-23T05:33:13Z
gt,Guatemala,Kids,36,2,1500855883,CapCut - Editor de videos,BYTEDANCE PTE. LTD.,https://apps.apple.com/gt/app/capcut-editor-de-videos/id1500855883?uo=4,0.0,4.50064,9398,Photo & Video,"CapCut es una aplicación gratuita para edición de video con todo incluido que te ayudará a crear videos increíbles. 

「Fácil de usar」
Corta, retrocede y cambia la velocidad. Ahora hacer videos increíbles es más fácil que nunca. Publica solo tus momentos más maravillosos.

「Alta calidad」
Los filtros avanzados y los impecables efectos de belleza abrirán un mundo de posibilidades

「Los mejores éxitos musicales/Sonidos increíbles」
Una enorme biblioteca musical y canciones exclusivas con derechos de autor

「Stickers y texto」
Los stickers y las fuentes más populares te permitirán expresarte plenamente

「Efectos」
Sé más creativo con ayuda de una gran variedad de efectos mágicos

Términos del servicio:
http://www.capcut.com/clause/terms-of-service

Política de privacidad:
https://www.capcut.com/clause/privacy-policy

Contacto: capcut.support@bytedance.com",2020-04-14T07:00:00Z,2025-11-21T06:41:15Z
gt,Guatemala,Kids,36,3,585027354,Google Maps,Google LLC,https://apps.apple.com/gt/app/google-maps/id585027354?uo=4,0.0,4.79044,36186,Navigation,"Explora y recorre el mundo con confianza con Google Maps. Encuentra las mejores rutas para conducir, caminar, ir en bicicleta o en transporte público con datos del tráfico y navegación GPS en tiempo real. Descubre más de 250 millones de empresas y lugares, desde restaurantes y tiendas hasta básicos del día a día, con fotos, opiniones y datos útiles.

Recorre el mundo de la forma que quieras:
• Elige rutas con mayor ahorro de combustible para llegar a tu destino.
• Encuentra la mejor ruta con instrucciones de navegación paso a paso por voz o en pantalla en tiempo real.
• Ahorra tiempo con el redireccionamiento automático basado en información en tiempo real sobre el tráfico, incidentes y rutas cerradas.
• Toma a tiempo y fácilmente autobuses, trenes y transportes compartidos gracias a las actualizaciones en tiempo real.
• Encuentra alquileres de bicicletas o monopatines para moverte de forma más simple.

Planifica viajes y experiencias de manera fácil:
• Explora un lugar antes de ir (p. ej., el estacionamiento o las entradas) con Street View.
• Usa Immersive View para recorrer puntos de referencia, parques y rutas; hasta puedes consultar el clima para prepararte con anticipación.
• Crea listas personalizadas de tus lugares guardados favoritos y compártelas con otras personas.
• Pide comida para llevar o con entrega a domicilio, y haz reservas en restaurante y hoteles.
• Usa mapas sin conexión para no perderte en zonas donde no hay buena señal.
• Busca lugares y cosas que hacer en una ciudad, y elige dónde ir según las fotos y las opiniones de los usuarios.

Descubre y explora lugares como un habitante local:
• Explora lugares con la confianza de saber que 500 millones de usuarios colaboran y mantienen actualizados los mapas todos los años.
• Evita las multitudes consultando qué tan concurrido está un lugar antes de ir.
• Usa Lens en Maps para ver instrucciones sobre cómo llegar a pie superpuestas a la vista del mundo real.
• Filtra restaurantes según el tipo de comida, el horario de atención, el precio, la calificación y mucho más.
• Haz preguntas sobre un lugar, desde qué platos ofrece hasta si cuenta con estacionamiento, y recibe respuestas rápidas.

Algunas funciones no están disponibles en todos los países o ciudades.
La navegación no está diseñada para vehículos de gran tamaño ni de emergencia.",2013-07-17T04:03:28Z,2025-11-20T16:03:21Z
gt,Guatemala,Kids,36,4,6477489729,Google Gemini,Google LLC,https://apps.apple.com/gt/app/google-gemini/id6477489729?uo=4,0.0,4.68282,13617,Productivity,"La app de Google Gemini es tu asistente de IA personal, proactivo y potente.

Con Gemini en tu iPhone o iPad, puedes hacer lo siguiente:

- Usar la función Live de Gemini para intercambiar ideas, simplificar temas complejos y practicar para momentos importantes con solo hacer clic en el botón de Gemini Live de la app de Gemini
- Conectarte con tus apps favoritas de Google, como la Búsqueda, YouTube, Google Maps, Gmail y más
- Estudiar de forma más inteligente y explorar cualquier tema con imágenes interactivas y ejemplos reales
- Convertir cualquier archivo en un podcast que puedes escuchar en cualquier momento, estés donde estés
- Crear imágenes increíbles con solo unas pocas palabras
- Planificar mejor tus viajes, y más rápido
- Obtener resúmenes, análisis detallados y vínculos a las fuentes usadas, todo en un solo lugar
- Generar nuevas ideas o mejorar las que ya tengas

Prueba Nano Banana: generación y edición de imágenes de vanguardia basadas en Gemini 2.5 Flash

Cambia tu plan a Pro y mejora tu experiencia en la app de Gemini para desbloquear nuevas y potentes funciones que te permitirán abordar tareas y proyectos complejos, y disfrutar de una ventana de contexto de 1 millón de tokens líder en la industria (lo que le permite a Gemini procesar hasta 1,500 páginas de texto o 30,000 líneas de código). Además, podrás aprovechar los siguientes beneficios:
- Mayor acceso a nuestro modelo más potente, 2.5 Pro
- La posibilidad de generar y analizar informes detallados sobre cualquier tema con Deep Research, potenciado por 2.5 Pro
- La posibilidad de convertir palabras en clips de video de 8 segundos de alta calidad con la generación de video de Veo 3.1 y más

Google AI Pro está disponible en 150 países y territorios, y además incluye beneficios adicionales. Como parte de Google AI Pro, la app de Gemini seguirá disponible en Google Workspace para los planes empresariales y educativos. Más información: https://gemini.google/subscriptions/

Mejora tu plan a Ultra y aprovecha al máximo la app de Gemini para disfrutar del nivel de acceso más alto y funciones exclusivas que te permitirán darle rienda suelta a tu imaginación. Obtén el nivel de acceso más alto al modelo más potente de Google, 2.5 Pro, además de funciones como Deep Research en 2.5 Pro, la generación de video con Veo 3.1 y Gemini 2.5 Deep Think. También obtendrás acceso anticipado para probar las últimas innovaciones en IA en cuanto estén disponibles, como el Modo Agente.

La app de Gemini en Google AI Ultra está disponible en EE.UU. e incluye beneficios adicionales como parte de la suscripción a Google AI Ultra. Actualmente, Google AI Ultra no está disponible para los usuarios de Google Workspace con planes empresariales y educativos. Más información: https://gemini.google/subscriptions/

La app de Google Gemini para dispositivos móviles está disponible en idiomas y países seleccionados. Más información:
g.co/gemini/iosrequirements

La disponibilidad de la función Gemini Live varía según el idioma.
g.co/gemini/ioslanguages

Aunque Gemini puede ayudarte con varias tareas, como consultar el clima, obtener indicaciones sobre cómo llegar a un sitio, encontrar y resumir información en toda la Web y en apps, no admite acciones en dispositivos iOS como establecer alarmas, enviar mensajes de texto, entre otras.

Consulta el Aviso de Privacidad de las Apps con Gemini:
g.co/gemini/privacynotice",2024-11-13T08:00:00Z,2025-11-20T01:10:16Z
gt,Guatemala,Kids,36,5,284815942,Google,Google LLC,https://apps.apple.com/gt/app/google/id284815942?uo=4,0.0,4.70619,21095,Utilities,"La app de Google te mantiene al tanto de los temas que te importan. Encuentra respuestas rápidas, explora tus intereses y mantente actualizado con Descubre. Cuanto más usas la app de Google, mejor funciona.

Funciones destacadas:
• Usa tu cámara para identificar lo que miras, ya sea una mariposa colorida, una planta con espinas o cualquier otro elemento que te genere curiosidad.
• Traduce más de 100 idiomas en señales de tráfico, menús y cualquier otra palabra a la que puedas apuntar con la cámara.
• ¿Ves algo que te gusta? Usa la cámara para saber dónde puedes comprarlo.
• Para definir mejor tus búsquedas con la cámara, agrega palabras, ya sea que quieras esos zapatos, pero en ""azul"", o quieras aprender a ""reparar"" esa parte rota de tu bicicleta.
• Busca cantando, aunque hayas olvidado la letra. Tararea una canción en la app de Google para saber cuál es.
• Usa la cámara para obtener ayuda con las actividades para el hogar. Con guías paso a paso y videos, puedes aprender a resolver problemas de matemáticas, química, biología y física.


Recibe actualizaciones personalizadas en Descubre:
• No te pierdas los detalles sobre los temas que te interesan.
• Empieza el día con información sobre el clima y las noticias destacadas.
• Recibe actualizaciones en tiempo real sobre deportes, películas y eventos.
• Entérate cuando tus artistas favoritos lanzan un álbum nuevo.
• Recibe historias acerca de tus intereses y pasatiempos.
• Sigue temas interesantes desde los resultados de la búsqueda.


Realiza búsquedas de forma segura:
• Todas las búsquedas en la app de Google están protegidas a través de la encriptación de la conexión entre tu dispositivo y Google.
• Los controles de privacidad son fáciles de encontrar y usar. Presiona tu foto de perfil para acceder al menú y borrar el historial de búsqueda reciente de tu cuenta con solo un clic.
• La Búsqueda filtra el spam web de forma proactiva para garantizar que veas resultados seguros y de alta calidad.


Otras formas de acceder a Google:
• Widget de la Búsqueda de Google: Realiza búsquedas desde tu pantalla principal o de bloqueo con el nuevo widget de Google. Elige entre 2 widgets que te ofrecen una barra de búsqueda rápida en ambos tamaños y accesos directos para elegir cómo buscar con Lens, Incógnito y Voice en el widget de tamaño mediano.


Obtén más información sobre lo que puede hacer la app de Google en el siguiente vínculo: http://www.google.com/search/about

Política de privacidad: https://www.google.com/policies/privacy

Tus comentarios nos ayudan a crear productos que te encantarán. Participa en una investigación sobre usuarios aquí:

https://goo.gl/kKQn99",2019-02-12T08:00:00Z,2025-11-24T00:05:53Z
gt,Guatemala,Kids,36,6,6746187834,Seekee - Buscador de IA,"SeekeeHorizon Technology (HK) Co., Limited",https://apps.apple.com/gt/app/seekee-buscador-de-ia/id6746187834?uo=4,0.0,4.50562,89,Utilities,"Descubre una nueva forma de buscar con la MegaSearch Bar de Seekee — Una barra, todo en uno.
Con un solo toque, Seekee se convierte en tu asistente inteligente de IA. Extrae puntos clave de cualquier página web, realiza preguntas de seguimiento, genera o edita imágenes, organiza archivos, escanea documentos y mucho más. Toma una foto para resolver ejercicios, chatea sobre imágenes, limpia textos escritos a mano y convierte documentos largos en resúmenes o mapas mentales. Todo para potenciar tu estudio, trabajo y creatividad.
Seekee reúne búsqueda, creación, edición y traducción con IA en una experiencia simple y poderosa.

Funciones Principales
MegaSearch Bar
Una barra capaz de hacerlo todo: buscar, chatear, crear, analizar, traducir, resolver y editar. IA integrada en tu navegación diaria.
Creación con IA
Escribe más rápido y mejor:
	•	Genera correos, resúmenes, informes y textos creativos
	•	Crea imágenes y mejora ideas
	•	Reescribe, expande o pule cualquier contenido
Edición de Imágenes con IA
Edición profesional a un toque:
	•	Ampliación inteligente
	•	Eliminación de fondo
	•	Limpieza de marcas de agua
	•	Mejora de calidad y restauración
	•	Fotos tipo carnet automáticas
Asistente de Aprendizaje con IA
Tu tutor personal:
	•	Resuelve ejercicios tomando una foto
	•	Explicaciones paso a paso
	•	Corrección inteligente de tareas
	•	Resúmenes, puntos clave y mapas mentales
Herramientas PDF y Archivos
Gestión completa de documentos:
	•	Edita y anota PDFs
	•	Convierte entre múltiples formatos
	•	Escanea, ordena y organiza archivos fácilmente
Identifica Todo con tu Cámara
Toma una foto y reconoce objetos, plantas, productos, lugares y más. Explora el mundo al instante.
Traducción Multilingüe en Tiempo Real
Comunícate sin barreras:
	•	Traducción de texto, voz, imágenes y documentos
	•	Precisa, rápida y natural
Tendencias y Temas del Momento
Mantente al día con:
	•	Deportes
	•	Entretenimiento
	•	Noticias y tecnología Seekee te informa en tiempo real.

¿Por qué elegir Seekee?
	•	Asistente de IA todo-en-uno
	•	Aprendizaje y búsqueda más eficientes
	•	Navegación más inteligente
	•	Herramientas completas para estudio, trabajo y creatividad
	•	Soluciones con fotos: traducir, escanear, resolver y editar

Descarga Seekee y vive una nueva experiencia de búsqueda inteligente, estudio y productividad. La IA hecha para simplificar tu día a día.",2025-06-04T07:00:00Z,2025-11-21T16:29:22Z
gt,Guatemala,Kids,36,7,6744290388,El Impostor - Splash,Cranberry Apps GmbH & Co. KG,https://apps.apple.com/gt/app/el-impostor-splash/id6744290388?uo=4,0.0,4.69792,96,Entertainment,"Hola, somos Hannes y Jeremy.

Sabemos cómo es: cada noche de juegos empieza buscando reglas en Google, buscando bolígrafos y papel o probando apps al azar. Pero nunca hay una app de fiestas realmente buena. Así que decidimos crear una.

¿Nuestro objetivo? Reunir los mejores y más virales juegos de fiesta en un solo lugar. Por ejemplo: ¿Quién es el impostor? – seguro que lo has visto en TikTok o Instagram.

Fácil de aprender. Rápido de jugar. Perfecto para 3 a 12 personas.

Ideal para fiestas en casa, cumpleaños o tu próxima noche con amigos. Reúne a tu grupo y pásalo en grande.

¡La app es gratuita para disfrutar con tus amigos! Si quieres funciones extra, Splash Plus te da acceso completo con una suscripción semanal. Puedes consultar nuestros Términos, EULA y Política de Privacidad aquí: https://cranberry.app/terms

Nota: Esta app no está pensada como juego de beber y no contiene contenido relacionado con el alcohol. Es apta para todo el público que busque diversión y juegos sociales.

¡Que la disfrutes!",2025-04-12T07:00:00Z,2025-11-21T17:27:25Z
gt,Guatemala,Kids,36,8,6446901002,Threads,"Instagram, Inc.",https://apps.apple.com/gt/app/threads/id6446901002?uo=4,0.0,4.70127,7331,Social Networking,"Exprésate mejor con Threads, la app de conversaciones basadas en texto de Instagram

Threads es el espacio donde las comunidades se unen en diversos debates, desde los temas que te interesan hoy hasta los que serán tendencia en el futuro. Cualquiera sea tu interés, puedes seguir a tus creadores favoritos y conectarte directamente con ellos y con otras personas con gustos afines, o bien crea por tu cuenta una base de seguidores leales para compartir tus ideas, opiniones y creatividad con el mundo.

Con Threads puedes...

■ Iniciar sesión con tu cuenta de Instagram
Se te reservará tu nombre de usuario e insignia de verificación de Instagram. Sigue automáticamente la mismas cuentas que sigues en Instagram con tan solo unos toques y descubre también otras nuevas.

■ Compartir tu punto de vista
Ya sea nueva música, estrenos de películas, deportes, juegos, programas de TV, moda o los lanzamientos de productos más recientes, inicia un nuevo hilo para compartir tu opinión o dar comienzo a una conversación.

■ Unirte a los mejores debates
Ve a las respuestas para ponerte en acción y reacciona a comentarios, humor e información de otras personas. Encuentra tu comunidad y conéctate con personas a las que les interesa lo mismo que a ti.

■ Encontrar ideas e inspiración
Desde recomendaciones de TV hasta consejos profesionales, obtén respuestas a tus preguntas o aprende algo nuevo a partir de conversaciones de colaboración abiertas, líderes intelectuales y expertos del sector.

■ Vivir cada momento sin perderte ni un detalle
Mantente al corriente de las tendencias y eventos en vivo más recientes con debates y notificaciones cada vez que tus perfiles favoritos comiencen un nuevo hilo.

■ Controlar la conversación
Personaliza la configuración y usa controles para decidir a quién quieres ver y administrar quién puede ver tu contenido, responder tus hilos o mencionarte. Las cuentas que bloqueaste en Instagram seguirán en este estado, y aplicaremos las mismas Normas comunitarias para garantizar que todos interactúen de forma segura y auténtica. 

Condiciones de Meta https://www.facebook.com/terms.php
Condiciones complementarias de Threads https://help.instagram.com/769983657850450
Política de privacidad de Meta https://privacycenter.instagram.com/policy
Política de privacidad complementaria de Threads https://help.instagram.com/515230437301944
Normas comunitarias de Instagram https://help.instagram.com/477434105621119

Para conocer las medidas que tomamos para proteger nuestras comunidades en las tecnologías de Meta, visita el centro de seguridad de Meta: https://about.meta.com/actions/safety",2023-07-05T07:00:00Z,2025-11-19T23:58:42Z
gt,Guatemala,Kids,36,9,1666653815,HBO Max: Ve TV y películas,"WarnerMedia Global Digital Services, LLC",https://apps.apple.com/gt/app/hbo-max-ve-tv-y-pel%C3%ADculas/id1666653815?uo=4,0.0,4.88616,32292,Entertainment,"Las series y películas más populares de HBO, DC Universe, Discovery y mucho más.

Con HBO Max, obtendrás:
• Acceso a miles de series y películas.
• Series exclusivas y galardonadas que dan que hablar, como The Last of Us, Succession, The White Lotus y House of the Dragon; contenido original de HBO.
• Mira deportes en vivo de tus ligas y equipos favoritos. Requiere una suscripción al plan adicional de Deportes. La disponibilidad varía según el país y el proveedor de suscripción.
• Los últimos éxitos de HBO, Max Originals, Discovery, Cartoon Network, ID, DC, Adult Swim y mucho más.
• Series icónicas favoritas como Friends, Rick y Morty, 90 Day Fiancé, Looney Tunes y mucho más.
• Entretenimiento familiar para toda la casa.
• Documentales fascinantes y series sin guion.

Características:
• Disfruta de tus series y películas favoritas en casa o dondequiera que estés. HBO Max está disponible en televisores, navegadores web, dispositivos móviles, tabletas y consolas de videojuegos seleccionados. (La disponibilidad del dispositivo puede variar según la región y el plan).
• Explora o busca fácilmente entre HBO, películas, series, géneros y marcas.
• Descarga las series y películas que te encantan para ver dondequiera que estés con planes seleccionados. (Los límites de descarga varían según el plan).
• Crea perfiles personalizados para toda la familia con clasificaciones personalizables y opciones de protección con PIN.
• Retoma episodios y películas donde los dejaste en cualquiera de tus dispositivos favoritos.
• Encuentra todo lo que te gusta, en un solo lugar, con My Stuff.
• Ve contenido en varios dispositivos al mismo tiempo. (Los límites varían según el plan).
• Transmite video de alta calidad con una resolución de hasta 4K y sonido envolvente, incluidas opciones con Dolby Atmos disponibles en planes seleccionados.

La disponibilidad de contenido y funciones en HBO Max puede variar por región. Algunos títulos y funciones de los mencionados podrían no estar disponibles en tu país.

Tu suscripción se renovará automáticamente al precio vigente de tu plan en ese momento a menos que desactives la renovación automática al menos 24 horas antes de la renovación. Tu cuenta de la App Store recibirá un cobro al mismo precio de renovación dentro de las 24 horas previas al fin de tu período de suscripción actual. Puedes administrar o cancelar tu suscripción visitando la App Store o la sección Suscripciones en la Configuración de tu dispositivo Apple después de la compra.

Los propósitos descritos en la etiqueta Privacidad de la aplicación pueden variar según las funciones o servicios que podrían no estar disponibles en todas las regiones. HBO Max solo está disponible en algunos territorios.

Términos de Uso: https://hbomax.com/terms-of-use",2024-02-27T08:00:00Z,2025-11-03T15:55:24Z
gt,Guatemala,Kids,36,10,323229106,Waze Navegación y Tráfico,waze,https://apps.apple.com/gt/app/waze-navegaci%C3%B3n-y-tr%C3%A1fico/id323229106?uo=4,0.0,4.80807,11968,Navigation,"Conoce las condiciones en la ruta con la ayuda de otros conductores. Waze es un mapa en tiempo real que aprovecha los conocimientos locales de decenas de millones de conductores en todo el mundo. Las diversas funciones de los mapas de Waze permiten que los conductores lleguen cada día a sus destinos de forma segura y confiable: navegación por GPS, actualizaciones del tráfico en vivo, alertas de seguridad en tiempo real (incluida información sobre construcciones, accidentes automovilísticos, controles policiales, baches, entre otros) y horas de llegada estimada precisas.


Haz que tu próximo viaje sea sin sorpresas ni estrés:
• Llega a destino más rápido con instrucciones sobre cómo llegar en tiempo real, horas de llegada estimadas precisas y redireccionamiento automático en función de información en tiempo real sobre el tráfico, los incidentes y las rutas cerradas.
• Incluso si ya conoces el camino, puedes evitar sorpresas en la ruta con las alertas de seguridad en caso de accidentes automovilísticos, construcciones, objetos en la ruta, baches, reductores de velocidad, curvas pronunciadas, mal tiempo, vehículos de emergencia, cruces ferroviarios y mucho más.
• Evita multas con información sobre la presencia de controles policiales y la ubicación de radares de velocidad y cámaras en semáforos.
• Comparte con otros conductores lo que sucede en la ruta informando incidentes y peligros en tiempo real.
• Mantente informado de futuros cambios en los límites de velocidad y ten tu velocímetro bajo control.
• La indicación de varios carriles te permitirá saber qué carril debes tomar.
• Consulta los precios de los peajes y decide si deseas evitarlos en tus rutas.
• Agrega pases de rutas y viñetas de peaje para los carriles VAO y las zonas de tráfico restringido.
• Encuentra gasolineras (y sus precios) y estaciones de carga de VE en tu ruta.
• Encuentra estacionamientos cerca de tu destino.
• Utiliza la navegación paso a paso guiada por voz en una variedad de idiomas, acentos locales y tus celebridades favoritas.
• Planifica tu próximo viaje revisando las horas de llegada estimadas según las futuras horas de salida o llegada.
• Utiliza tus aplicaciones de audio favoritas (para podcasts, música, noticias y audiolibros) directamente en Waze.
• Sincroniza Waze con la pantalla integrada de tu automóvil con Apple CarPlay.


* Algunas funciones no están disponibles en todos los países.


* La navegación de Waze no está pensada para vehículos de emergencia o de gran tamaño.


Administra tu configuración de privacidad en la app cuando quieras. Obtén más información sobre la política de privacidad de Waze en www.waze.com/legal/privacy.",2009-08-01T21:14:40Z,2025-11-10T12:05:02Z
