country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
sa,Saudi Arabia,Books,6018,1,1391009396,Tarteel ترتيل - AI Quran,Tarteel Inc.,https://apps.apple.com/sa/app/tarteel-%D8%AA%D8%B1%D8%AA%D9%8A%D9%84-ai-quran/id1391009396?uo=4,0.0,4.59516,9967,Book,"No one to recite to? No problem. Tarteel AI is here!

How many times have you wished you knew more surahs to use in salah? That you could get feedback on your recitation whenever you needed it? That you could memorize more, and worry less?

Hide. Tap. Recite. In three easy moves, you’re strengthening your memorization of the Quran with the world’s leading AI Quran memorization companion. Simply hide the verses, tap the mic and start reciting. The pages will fill with your recitation and if you make a mistake, Tarteel’s intuitive AI will be sure let you know INSTANTLY with its flagship feature, Memorization Mistake Detection. That’s live feedback on your recitation, any time, anywhere - even if you whisper! 

Whether you’re memorizing for your next Hifz class or revising Juz Amma on your daily commute, Tarteel adapts to your recitation, tracks your progress and aligns with your goals. It’s your companion —helping you memorize better, build confidence, and create a Quran habit that lasts a lifetime. No matter where you are in your memorization, Tarteel is here for the journey. 

Tarteel is free to use with no ads and prioritizes user privacy. The team operates within the framework of Ihsan, striving for excellence and using innovative tech to serve the Muslim Ummah.

TARTEEL PREMIUM

Supercharge your Quran memorization with a paid subscription to Tarteel Premium. Try it now for FREE, no credit card required. Features include:

- Memorization Mistake Detection

Start reciting and you’ll be notified whenever you miss a word, use the wrong word or say one word too many! Tarteel will highlight your mistakes and keep track so you can revise and review for next time. Currently, this feature does not include Tajweed or pronunciation correction, but we know there’s community demand and it’s on our roadmap for the future!

- Hidden Verses

Hide the verses and recite; Tarteel will highlight verses and follow along with your recitation so you can check your memorization as you go. You’re one step closer to perfecting that verse!

- Goals

Set custom Goals for what you want to memorize and revise. Choose your portion, deadline and the type of engagement you want; memorization, reading, revision or recitation!

- Historical Mistakes

Progress is key! Tarteel keeps a record of all of your mistakes so you know exactly where your memorization is strong and what could use a little more work. 

- Unlimited Listening and Audio

Solidify your memorization with listening and audio! Choose your favourite Qari, the portion and how many times you want to listen. 

- Advanced Progress Tracking

Check if you’re reaching your goals with detailed analytics around your Quran engagement. 

—

Join the 9M+ Muslims worldwide who are using Tarteel to support their memorization of the Quran!

Do you use Tarteel? Your feedback helps us improve the platform and add to our long-term roadmap. If you’ve benefited from Tarteel, please remember to leave us a review - we’d love to hear from you! Request new features here: [http://feedback.tarteel.ai](http://feedback.tarteel.ai/)

—

NOTES:
Tarteel requires microphone access and a stable internet connection in order for its voice features to function properly. Please ensure you allow Tarteel to access these permissions on your device.

Privacy Policy: https://www.tarteel.ai/privacy/
Terms of Service: https://www.tarteel.ai/terms/",2018-07-01T23:54:50Z,2025-11-22T10:34:03Z
sa,Saudi Arabia,Books,6018,2,306310789,Wattpad - Read & Write Stories,Wattpad Corp,https://apps.apple.com/sa/app/wattpad-read-write-stories/id306310789?uo=4,0.0,4.45141,56346,Book,"Wattpad. Where stories live.
Discover the world's most-loved social storytelling platform. Wattpad connects a global community of millions of readers and writers through the power of story. Download it today to start reading or writing original stories.

Get your story discovered
Have your own story to tell? Get it discovered through the power of community and technology on Wattpad. Share an original story on Wattpad and share it with our community who are there to cheer you on throughout your writing journey. Think your story could be the next blockbuster? Wattpad Studios discovers untapped, unsigned, and talented writers on Wattpad and connects them to global multi-media entertainment companies.

Read original stories
Discover stories in over 25 languages from writers around the world! Whatever you’re into reading—romance, science fiction, mystery, comedy, action adventure, fantasy, young adult fiction, or fanfiction—it’s all on Wattpad. So whether you’re looking for more LGBT meet-cutes, cyberpunk fairy tales, or new technothrillers to devour, you’ll find it all, and so much more, on Wattpad.

Connect with a community of story-lovers
When you join Wattpad, you become a member of an international community of story-lovers. Connect with other passionate readers & writers, comment directly in stories as you read them, and support writers as they create and share their original stories. You can even read together and share your library or create reading lists so your friends always know what you’re reading.

Start your own free library
Save your favorite stories to keep them with you wherever you go. Hooked on a story? Simply sync your account to easily pick up where you left off, whether you’re on your laptop, tablet, Kindle or iPhone.

Read the stories that inspired blockbusters
If you’ve streamed Light as a Feather on Hulu or read New York Times best-seller Anna Todd’s series After, you may not know—these stories were first discovered on Wattpad. Join the platform the entertainment industry scours to find its next big hit, and start reading tomorrow’s box-office sensation today.

Wattpad Premium:
- Subscribe to Wattpad Premium for uninterrupted ads-free reading and first access to new features
– Payment will be charged to iTunes Account at confirmation of purchase
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
– Account will be charged for renewal within 24-hours prior to the end of the current period, at the cost of the chosen package
– Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
- For full terms of service, visit https://www.wattpad.com/terms
- For our privacy policy, visit https://www.wattpad.com/privacy
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable

Already a Wattpad fan? Follow us on Instagram, TikTok, Facebook and Twitter to stay up-to-date on your favorite writers, stories, contests, and more!

Instagram: https://www.instagram.com/wattpad/
TikTok: https://www.tiktok.com/@wattpad
Facebook: https://www.facebook.com/wattpad/
Twitter: https://twitter.com/wattpad",2009-03-08T08:00:00Z,2025-11-21T16:24:34Z
sa,Saudi Arabia,Books,6018,3,1171085682,مصحف المدينه - القران الكريم,El Massar Establishment For Software,https://apps.apple.com/sa/app/%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D9%87-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id1171085682?uo=4,0.0,4.69242,64431,Book,"ما هو تطبيق مصحف المدينة ؟
تطبيق مصحف المدينة لخدمة القرآن الكريم هو التطبيق الأجمل والأكثر رونقًا لتلاوة القرآن الكريم ومعرفة تفسيره
يُوافق طبعة مجمع الملك فهد بالرسم العثماني، طبعة المدينة المنورة - الموثقة وأشهر نسخة مصحف في العالم، مع ضمان خُلو النص من الأخطاء الإملائية أو الرسمية، مدققًا من قبل لجنة علمية متخصصة - والذي يجمع بين الأصالة الدينية والتقنية العصرية ليُقدِّم تجربة قرآنية لا تُضاهى. 


-هنا لا نكتفي بكونك قارئًا للقرآن، بل نجعلك مُتدبرًا لمعانيه عالمًا بأحكامه، حافظًا لآياته، ومستمعًا لأعذب الأصوات، كل ذلك في مكان واحد بدون إعلانات المزعجة.


-فوائد تطبيق مصحف المدينة للمسلم؟
قراءة القرآن الكريم بدون إنترنت
القران الكريم كاملاً دون الإتصال بالإنترنت وهو مطابق للمصحف الورقي تمامًا مع العديد من الميزات المفيدة لذا استمتع بقراءة وتلاوة القرآن الكريم في أي وقت ومكان دون الحاجة إلى اتصال بالإنترنت.


-الاستماع إلى القرآن بأعذب الأصوات
استمع إلى تلاوات أجمل وأشهر القراء والمشايخ وعمالقة التلاوة مثل:
عبد الباسط عبد الصمد
محمد صديق المنشاوي
مشاري بن راشد العفاسي
محمود خليل الحصري
محمد الطبلاوي
سعد الغامدي
أبو بكر الشاطري
أحمد بن علي العجمي
خالد عبدالله القحطاني
محمد جبريل وغيرهم الكثير، فقط اختر من بين الأصوات التي تحبها لتتعلم النطق الصحيح لكتاب الله.


-تفاسير معتمدة وشاملة
اطلع على تفاسير متنوعة تناسب كل مستوى سواء كنت قارئ عادي أو باحث قرآني مثل: (التفسير الميسر، تفسير ابن كثير، تفسير السعدي، تفسير القرطبي، وتفسير الطبري)
كل ذلك متاح من خلال الضغط المطول على الآيات ويظهر لك تفسيرها

هذا بالإضافة إلى كنوز التفسير المميزة مثل:
(تفسير القرآن لـ محمد الطاهر بن عاشور، أضواء البيان في تفسير القرآن، مختصر تفسير بن كثير، فتح القدير للشوكاني، تفسير المنار لمحمد رشيد رضا، تفسير الجلالين، محاسن التأويل للقاسمي، إعراب القرآن للنحاس)


-حفظ القرآن الكريم بدون إنترنت
نظام تحفيظ مبتكر بخاصية التكرار المترابط للآيات بأصوات القراء مع تحديد مرات التكرار واختيار الآيات بسهولة، هذا النظام يجعل عملية الحفظ فعالة وسهلة لجميع المستويات للحصول على أفضل تجربة تعينك على الحفظ وقراءة وردك اليومي.


-ترجمة القرآن الكريم
يهدف مصحف المدينة أن يصل القرآن لكل مسلم حول العالم من خلال ميزة التراجم التي يوجد بها ترجمات مختلفة للقرآن الكريم بمختلف لغات العالم؛ لتقديم يد العون للمسلمين الغير ناطقين للعربية، نوفر ترجمات متعددة للقرآن الكريم بلغات مختلفة مثل:
الإنجليزية
الفرنسية
الألمانية
الإيطالية
التركية
الإندونيسية
الأوردو وغيرها من لغات العالم


-مزايا تقنية متطورة
تصفح أفقي ورأسي مع خط واضح ومريح للعين بالإضافة إلى خاصية التصفح التلقائي التي تتناغم مع سرعة قراءتك
تكبير وتصغير النص بمرونة لتناسب راحة عينيك
الوضع الليلي المريح للعين أثناء القراءة في الظلام
بحث نصي دقيق مع فهرسة كاملة للسور والأجزاء
حفظ موضع القراءة تلقائيًا للعودة إليه لاحقًا
اختر من بين ثلاثة ألوان عصرية (أزرق داكن، أسود ملكي، أخضر زاهي) لتنعم بقراءة مريحة تناسب ذوقك

فوائد يومية وإيمانية  
انهل من كنوز كتب التفاسير وعلوم القرآن مع فوائد يومية تشمل لطائف تفسيرية، تدبرات إيمانية، ودروس مستفادة لصلاح قلبك ونور نفسك.  


-لماذا تطبيق مصحف المدينة القرآن الكريم ؟
بدون إعلانات: نضمن لكم تجربة قراءة خالية من الإزعاج.  
بدون أخطاء: معتمد على طبعة مجمع الملك فهد بالمدينة المنورة.  
تصميم عصري: واجهة مستخدم سهلة ومريحة للعين.  
دعم متعدد اللغات: لخدمة المسلمين حول العالم. 


-""حمّله الآن وكن جزءًا من قافلة الخير، فكل نقرة تحميل خطوة في طريق نشر كتاب الله""
نسأل الله أن يجعل هذا العمل خالصًا لوجهه الكريم، وأن يجعله نورًا في صحائف أعمالنا جميعًا.


للمزيد من الفوائد القرآنية تفضل بزيارة موقعنا
https://madinaquran.com/

ونقدر متابعتك على منصات مصحف المدينة للتواصل الاجتماعي
فيسبوك: https://www.facebook.com/@madinahquran
تويتر: https://x.com/madinaquranapp
انستجرام : https://www.instagram.com/madinahquran
يوتيوب: https://www.youtube.com/@Mushaf-almadina",2016-12-08T13:20:38Z,2025-11-07T20:39:40Z
sa,Saudi Arabia,Books,6018,4,543090051,ختمة Khatmah - مصحف،أذان،أذكار,Abdullah El-Sayed,https://apps.apple.com/sa/app/%D8%AE%D8%AA%D9%85%D8%A9-khatmah-%D9%85%D8%B5%D8%AD%D9%81-%D8%A3%D8%B0%D8%A7%D9%86-%D8%A3%D8%B0%D9%83%D8%A7%D8%B1/id543090051?uo=4,0.0,4.61017,101533,Book,"أفضل تطبيق لختم القرآن في المدة التي تريدها، بالإضافة إلى مواقيت الصلاة والأذكار والقبلة - أكثر من 18 مليون مستخدم.
Khatmah App is your daily Quran reader providing you with Prayer Times, Mushaf, Athkar, and Qibla - used by over 18 million users.

تطبيق ختمة يساعدك على ختم القرآن الكريم حيث يقدم لك وردك اليومي حسب المدة التي تريد أن تختم المصحف فيها، كما يقوم بتنبيهك يوميا لتذكيرك بالورد في الوقت الذي تحدده.

مزايا التطبيق:
- إمكانية تحديد مدة الختمة أو كمية الورد الذي تود قراءته يوميا
- قراءة الورد من داخل التطبيق (من مصحف مدقق من مجمع الملك فهد ذو جودة عالية)
- تحديد وقت المنبه اليومي للتذكير بالورد
- أذكار الصباح والمساء وغيرها
- تصفح القرآن حسب السور أو الأجزاء
- منبه يومي للأذكار والسنن كسورة الكهف يوم الجمعة
- مواقيت الصلاة الدقيقة لجميع مدن العالم
- تنبيهات للأذان وقبل الأذان
- اتجاه القبلة
- 5 أنواع من الويدجت لعرض مواقيت الصلاة بسهولة
- إمكانية مشاركة الورد الحالي عبر شبكات التواصل

---------------------------

Khatmah App is your daily Quran reader, allowing you to finish reading the Quran in the number of days you want. Khatmah provides you with daily Quran sessions from a high-quality Mushaf, along with daily alarms to remind you of your Khatmah. Khatmah also provides you with accurate Prayer Times, Athkar, Adhan notifications, Qibla Locator, and Prayer Times widgets.",2012-07-18T21:15:59Z,2024-11-28T13:10:52Z
sa,Saudi Arabia,Books,6018,5,1164088669,القرآن الكريم كاملا دون انترنت,Maher Al Masri,https://apps.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D9%83%D8%A7%D9%85%D9%84%D8%A7-%D8%AF%D9%88%D9%86-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA/id1164088669?uo=4,0.0,4.20675,19942,Book,القران الكريم كاملاً دون الاتصال بالانترنت وهو مطابق للمصحف الورقي تماماً مع العديد من الميزات المفيدة.,2016-10-13T15:27:24Z,2024-09-17T10:14:51Z
sa,Saudi Arabia,Books,6018,6,1503128132,"GoodNovel - Booktok, Stories",SINGAPORE NEW READING TECHNOLOGY PTE. LTD.,https://apps.apple.com/sa/app/goodnovel-booktok-stories/id1503128132?uo=4,0.0,4.5888,2055,Book,"GoodNovel- A Must Have App For Web Novels！
- Book Genres: Romance, Mystery, Fantasy, Western, Sci-fi, Fan-fic
- Become An Author to REALIZE YOUR WRITING DREAM
Collection of Best Books & Hottest New Reads in Every Genre!

GoodNovel has collected popular web novels and books, provides you with the latest chapters of the highest quality. This is a must-have book app for the majority of web novel lovers.

Start reading your favorite book, by downloading the GoodNovel app！

- No.1 Book Reading Platform for Novel Lovers
- Numerous of Book Genres for Choosing Freely
- Hundreds of web novel Read More Than 1,000,000+ Times
- Professional Author Team Creates Best Novel

Book Genres
GoodNovel contains many web novel genres,  from urban books to supernatural books, and is deeply loved by the majority of our readers.

So many book genres await you to explore on GoodNovel App.

Anyone can find their favorite web novel on GoodNovel. Start reading web novel without delay!

Hottest Web Novels
If you’re looking for any of these web novels below, then you’ll love GoodNovel for sure.
-「Most Read 5 Web Fictions 2024」
-「Most Romantic Top 5 Love Story Web Fictions」
-「Top 5 Novels of All Web Fiction Platforms」
-「Best Sellers of Web Fictions 2024 - Love & Romance」
-「Top 10 Must Read Romantic Web Fictions for Romantic Book Lovers」

Trending web novel at GoodNovel:
 - 「When His Eyes Opened」By Simple Silence
 - 「Alpha Asher」By Jane Doe
 - 「The Divorced Billionaire Heiress」By I Wanna Eat Meat 
 - 「The Dark Side Of Fate」By Karima Sa'ad Usman
 - 「His Dark Obsession」By Moonlight Muse

GoodNovel has hundreds of books that have been read more than 1 million times, and you can read these novels as much as you want without having to buy the paperback edition!

Topping Author Team
Our GoodNovel authors are from all over the world, with experience and talent in writing stories of many different genres and update frequently for their fans to read over and over again.

GoodNovel has been continuously recruiting high-quality authors and has a steady stream of new content recommendations.

**Join GoodNovel & Become A Professional Author!**

About Payment
GoodNovel is unfortunately not a totally free online novel platform. Because we at GoodNovel need to ensure that our authors can obtain a stable income to produce better quality content for you to read.

At the same time, GoodNovel has a lot of in-app tasks that you can easily complete to obtain coins to continue reading new chapters.

If you have any dissatisfaction with the charges or feedback, please write an email to contact@goodnovel.com

How To Contact Us
- For Your Opinions ｜ We’d like to hear from you with appreciation 
1. Customer Service Email —>> contact@goodnovel.com
2. Opinion Collection Form —>> https://forms.gle/5nbTLD1djJ7cJdnZ6

Follow Us | GoodNovel Social Media
1. Official Website —>> https://www.goodnovel.com/
2. Facebook —>> https://www.facebook.com/GoodNovels/
3. Facebook Group —>> https://facebook.com/groups/goodnovels/
4. Discord —>> https://discord.gg/6deBzDk6U3/

About the Automatic Subscription Renewal:

1. Payment: After you confirm the purchase, the fee will be automatically charged to your Apple iTunes account.

2. Renewal: 24 hours before your subscription expires, the renewal fee will be automatically deducted from your Apple iTunes account. After the renewal payment is processed, your premium membership will be extended automatically.

3. If you want to unsubscribe, please open the iPhone ""Settings""-->enter ""iTunes Store and App Store""-->click ""Apple ID"", select ""View Apple ID"", go to the ""Account Settings"" page, click ""Subscribe"" choose GoodNovel Bundle to unsubscribe. if you do not unsubscription at least 24 hours before the end of the subscription period, this subscription will be automatically renewed.

Service 
https://m.goodnovel.com/other/static_file/term_of_use.html
Privacy 
https://m.goodnovel.com/other/static_file/privacy_policy.html",2020-04-23T07:00:00Z,2025-11-21T07:02:36Z
sa,Saudi Arabia,Books,6018,7,852497554,Golden Quran | المصحف الذهبي,OMAR SHARIF,https://apps.apple.com/sa/app/golden-quran-%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%B0%D9%87%D8%A8%D9%8A/id852497554?uo=4,0.0,4.67425,605694,Book,"المصحف الذهبي: هو أحدث تطبيقات القرآن الكريم كاملا (مصحف إلكتروني) التي تم تطويرها لخدمة المستخدم بالاستفادة من التقنيات الحديثة المتوفرة، وهو تطبيق متخصص بعرض وتحميل سور القرآن الكريم واستماعه بصورة تفاعلية ميسرة. يوظف التطبيق البيئة الجديدة على هواتف الآي فون والآيباد مما يتيح للمستخدم التفاعل مع القرآن الكريم بسهولة ويسر مع الاحتفاظ بجماليات المصحف الشريف من خطوط ونقوش دلائل الآيات والسور.


من اهم مميزات التطبيق:


١.التفاعل مع نص القرآن الكريم على مستوى الآية مما يتيح للمستخدم التفاعل مع آيات المصحف من (أسباب النزول، تفسير الآيات، المعنى بالكلمة، استماع، إعراب، بلاغة، صرف، إضافة علامة، معجم الكلمات، فوائد).


٢. يوفر التطبيق تلاوة المصحف بثلاث روايات: حفص عن عاصم، وورش عن نافع، وقالون.


٣. إعراب القرآن الكريم كاملا من كتاب الجدول في إعراب القرآن الكريم.


٤. البلاغة والصرف لآيات القرآن الكريم مع العديد من فوائد الآيات.


٥. ميزة الاختيار بين أكثر من ٦٠ كتاب تفسير للقرآن دون الحاجة لتحميلها. مع إمكانية تحميلها لاستخدامها دون اتصال الانترنت، مع دعم أكثر من ٧٠ ترجمة للمصحف من موقع موسوعة القرآن الكريم الموثوق.


٦. قسم خاص للاستماع لسور القرآن الكريم بصوت أي قارئ، منها ماهر المعيقلي وعبد الباسط، عبد الرحمن السديس وسعود الشريم وإبقاء التشغيل حتى في وضع غير النشط للتطبيق.


٧. ميزة الاستماع للآيات، صفحة كاملة أو حتى السور كاملة بصوت أكثر من ١٠٠ قارئ ويوفر التطبيق العديد من المقرئين ليتمكن المستمع من تنزيل أي من المقرئين عند الحاجة.


٨.إدراج نظام مميز لحفظ مواقع القراءة بحيث يتمكن القارئ من تحديد الصفحة وحفظها للرجوع إليها.


٩.يوفر التطبيق للقارئ إمكانية الرجوع لتفسير أي آية بصورة لحظية من خلال اختيار الآية على صفحات المصحف.


١٠.يعرض التطبيق خلفية الصفحات بألوان جميلة كما يتيح التطبيق للقارئ القراءة الليلية والتي تلون الخلفية باللون الأسود والخطوط البيضاء لتعطي القارئ الراحة التامة عند القراءة في أجواء منخفضة الإضاءة.


١١.ييسر التطبيق خاصية البحث النصي في آيات القرآن الكريم من خلال البحث اللحظي وعرض النتائج مع الصفحات بالإضافة إلى إمكانية الذهاب للصفحة وتظليل خلفية الآية المختارة ليسهل على المستخدم معرفتها.


١٢. يضيف التطبيق إمكانية الحصول على أوقات الصلاة واتجاه القبلة مع إمكانية الحصول على إشعارات بوقت الصلاة من داخل وخارج التطبيق.


١٣. يضيف التطبيق إمكانية إنشاء نُسخ مصاحف متعددة بحيث تحتفظ كل نسخة من المصحف الشريف بخصائصها المستقلة من علامات مرجعية وأخر صفحة تمت الوقوف عليها والاسم الخاص بذلك المصحف.


١٤. يضيف التطبيق خاصية أذكار المسلم بحيث يتمكن المستخدم من قراءة العديد من الاذكار، منها: أذكار الصباح و المساء والعديد غير ذلك، كما وييسر التطبيق قراءة الاذكار بأساليب مختلفة.


١٥. يضيف التطبيق ختمة المصحف بحيث يساعدك التطبيق على إنشاء ختمة أو أكثر للمصحف حسب رغبتك وتنبيهك يوميًا بموعد الختمة حسب الوقت المناسب لك.


كما يوفر التطبيق العديد من المميزات الأخرى التي تساعد على القراءة السهلة والميسرة.",2014-04-11T21:26:30Z,2025-11-10T17:15:04Z
sa,Saudi Arabia,Books,6018,8,976628194,أبجد: كتب - روايات - قصص عربية,Abjjad LTD (US),https://apps.apple.com/sa/app/%D8%A3%D8%A8%D8%AC%D8%AF-%D9%83%D8%AA%D8%A8-%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D8%AA-%D9%82%D8%B5%D8%B5-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/id976628194?uo=4,0.0,4.63652,6248,Book,"Abjjad is the first of it’s kind reading app in the Arab world, offering you the best reading experience on your phone with the feel of the paper book in your hands. Now you can say goodbye to poor quality pdf books, with a library of over 20000 Arabic books and novels to choose from, we have everything, from new releases to the most popular book titles. 

Why Abjjad?

• With Abjjad you can read as many books as you like from a library packed with 20000+ Arabic books and novels for the price of 1 paper book. 

• Save up your internet data. Download books from the app to your phone within seconds & read offline wherever you go. 

• New books are added all the time. We are constantly working with new publishers to add more books and grow our library. 

• Don’t miss out on the feel of the paper book in your hands. With Abjjad you can flip the pages of the book and highlight the parts you like.. reading on your phone has never felt this natural. 

• Night mode feature for less eye strain and easier, comfortable reading.

• Connect with other readers. With a community of over 1.5 million readers, you can enjoy reading reviews and quotes written by others and comment or add your own.

• Follow your favorite writers & stay up-to-date with their latest published books.

• Create your own personal library by categorizing and adding books to your reading shelves.

• Our intuitive app is extremely easy to use, and provides you with the ability to highlight, bookmark & add notes inside the book.

• We strive to meet the tastes of all Arab readers, our library includes books of different genres like: stories, novels, biographies, literature, philosophy, psychology, history, politics, religion, self help books, etc.


How can you use Abjjad?

• Free Subscription:
Limited access to a number of books

• Abjjad Unlimited:
Unlimited access to all books on Abjjad (over 28000 books) for the price of 1 paper book. 

• Need help or got questions? We are always happy to hear from you on feedback@abjjad.com

Abjjad Unlimited Legal Details:
• Payment will be charged to iTunes Account at confirmation of purchase
• Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
• Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
• Subscription will be automatically renewed every 1 month unless canceled
• Privacy policy: https://www.abjjad.com/static/privacy
• Terms & conditions:https://www.abjjad.com/static/terms
• Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2015-04-26T14:38:32Z,2025-11-21T11:41:08Z
sa,Saudi Arabia,Books,6018,9,6720763804,Manga Cloud - مانغا كلاود,Mouaad Ouajib,https://apps.apple.com/sa/app/manga-cloud-%D9%85%D8%A7%D9%86%D8%BA%D8%A7-%D9%83%D9%84%D8%A7%D9%88%D8%AF/id6720763804?uo=4,0.0,3.06122,98,Book,"Manga Cloud مانغا كلاود هو تطبيق مميز للمانغا باللغة العربية. يحتوي التطبيق على آلاف المانغات المتنوعة التي يمكن للمستخدمين استكشافها وقراءتها بسهولة. يمكنك تنظيم مكتبتك الخاصة من المانغات المفضلة، إضافة إلى إدارة قوائم ""اقرأ لاحقًا""، ""القراءة الحالية""، و""المانغات المكتملة"".

يتيح لك التطبيق البحث عن المانغا باستخدام الوسوم المختلفة، والاطلاع على تفاصيل القصة والمعلومات المهمة الأخرى حول المانغا. يتميز Manga Cloud بتصميم جميل وسهل الاستخدام مع دعم للوضعين الليلي والنهاري لتجربة قراءة مثالية.

قم بتنزيل Manga Cloud الآن واستمتع بمكتبة ضخمة من المانغا في أي وقت وأي مكان!",2024-10-03T07:00:00Z,2025-09-17T15:25:14Z
sa,Saudi Arabia,Books,6018,10,1530008007,مصحف القيام al Qiyam Quran app,Abobakr Ibrahim,https://apps.apple.com/sa/app/%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D9%85-al-qiyam-quran-app/id1530008007?uo=4,0.0,4.05,60,Book,"The Holy Quran app with automatic page scrolling feature to assist in reading Quran especially while performing prayers.
ONE OF THE BEST QURAN APPS


** Application features: **
Interface languages: The app supports Arabic and English interfaces.
• Reading in the Qur’an: The application provides two ways to display verses, the first is the normal way as in printed copy of the Quran, and the second is to display each verse and underneath its interpretation or translation.
• Edition of the Qur’an: Latest printed copy of the Quran from King Fahd Glorious Quran Printing Complex (Edition 1441) was used to display the Qur’an page. 
• Automatic page scrolling: the ability to activate automatic page scrolling with the ability to modify the speed of movement.
• Ease of use: the ability to access the verses by viewing an index of the names of the suras or parts, as well as through the sliding bar at the bottom of the page.
Design: Attractive design with a soft-colored background that is comfortable for the eye while reading, to provide the best experience for users.
• Night Mode: Ability to change the display to night mode.
• Enlarge the Qur’an page: In landscape view, the page is enlarged by the width of the screen.
• Continue where you left: A marker is placed automatically at the position to which the user has finished reading, so that he can continue reading from the same position when opening the application later.
• Bookmarks and Favourites: User can place a bookmark on any verse or add it to Favourite so that it is easy for him to return to it later. 
• Sharing: The user can share the text of a verse or a group of verses, either as text with diacritics or without it, or as an image. Translation and interpretation also can be shared together with the verses.
• Notes: The user can add a thought or note to each verse, and view it in Note management.
• Search: You can search for specific words in the Noble Qur’an and the names of the surahs. Recent searches are also stored so they  can be accessed quickly.
• The application provides interpretation of Ibn Kathir, and the English translation of Sahih International.

""al Qiyam Quran app مصحف القيام""
was designed and developed by Smartech IT Solutions
https://smartech.online",2021-02-13T08:00:00Z,2022-04-04T10:22:42Z
